#run,max_H,min_H,a_BL_mean,a_BL_median,a_BL_var,i_BL_mean_i,i_BL_var_i,i_BL_mean_e,i_BL_var_e,colless,sackin,WD_ratio,DeltaW,max_ladder,staircaseness_1,staircaseness_2,max_L,t_max_L,slope_1,slope_2,slope_ratio
1,49.756592,46.006958,47.12599612,47.179932,1.12605552898453,3.383588,36.3648908487322,34.5143093888889,101.282955578763,161,1178.149903,0.428571428571429,4,30,0.666666666666667,6.27083333333333,25,33.9818671515151,0.205992212517019,-1.62439573299135,-0.126811594202899
2,49.885742,46.008423,47.32829592,46.919311,1.55807857617383,5.28333333333333,10.4900258216953,29.933005,13.3246554145699,110,1183.207398,0.727272727272727,4,-Inf,0.541666666666667,3.82638888888889,25,22.7145871919192,0.484270302033633,-0.917040160283243,-0.528079710144928
3,49.343018,46.000977,47.310879,47.380493,1.30361317737508,2.846732,37.2157216501486,30.6189037647059,45.5754311611431,56,1182.771975,0.888888888888889,4,48,0.583333333333333,2.71643518518519,25,39.0650650505051,0.537564700656463,-2.58677750691832,-0.2078125
4,49.781128,46.005981,47.4005908,47.332886,1.48207068310241,4.60880533333333,10.2271622439431,29.18582765,34.3602585285156,118,1185.01477,0.666666666666667,4,48,0.708333333333333,4.99861111111111,25,25.6224106666667,0.585425009189872,-1.03632682477867,-0.564903846153846
5,49.673584,46.001709,46.92363276,46.700073,0.960780633979024,3.41944986666667,33.2910891551208,39.1649887058824,51.2361354468517,194,1173.090819,0.333333333333333,4,43,0.75,7.93055555555556,34,0,NaN,-0.677985824918913,NaN
6,49.756592,46.003052,47.37476572,47.27771,1.47847888747729,6.90163844444444,58.2635990758918,29.2868460526316,100.504614001386,111,1184.369143,0.727272727272727,6,29,0.458333333333333,4.34375,25,41.3692295757576,0.217552999954198,-3.24879146598269,-0.0669642857142857
7,49.756592,46.006104,47.34499512,47.523193,1.29960619746261,1.33775114285714,3.99011828407584,28.3421020555556,17.4518604269675,73,1183.624878,0.8,4,36,0.625,2.64236111111111,25,20.3000464646465,1.13300233278065,-1.20639112629705,-0.939166666666667
8,49.781128,46.008057,47.67416496,47.781494,1.55680994818254,3.18634711111111,38.6688308406019,33.8013015789474,101.826972418216,147,1191.854124,0.666666666666667,2,47,0.75,6.37083333333333,25,39.911832,0.375828400961399,-2.70596448692207,-0.138888888888889
9,49.605713,46.001587,47.16128412,46.866455,1.12222871172444,2.4944336,18.6718448873254,37.9143446875,60.7277117923502,191,1179.032103,0.352941176470588,2,43,0.75,8.0375,26,0,NaN,-0.514342830440529,NaN
10,49.836792,46,47.05595212,46.733276,1.35964695672653,2.30786133333333,10.1588257949422,33.3371646315789,23.5514667105988,90,1176.398803,0.8,2,44,0.666666666666667,3.73842592592593,25,23.1851436767677,0.560703879227044,-0.935612390189505,-0.599290780141844
11,49.781128,46.00647,47.43676752,47.020264,1.61401973850401,4.23066057142857,14.9981227047585,31.509872375,16.6019812513251,99,1185.919188,0.545454545454545,2,-Inf,0.5,3.23958333333333,25,22.6659786666667,0.661784792997246,-0.919006806879195,-0.720108695652174
12,49.781128,46.00061,47.19731932,46.936035,1.16600449989139,3.54168293333333,28.2539158952394,33.9825567894737,69.9669232341919,47,1179.932983,1.5,8,39,0.458333333333333,2.05787037037037,25,31.042536,0.483207944093227,-1.35298224346104,-0.357142857142857
13,49.605713,46,47.33532228,47.72522,1.29981534084154,4.33664421052632,38.4390883320227,32.0790783809524,37.3115845789064,72,1183.383057,1.5,4,48,0.5,3.55787037037037,25,26.0212402929293,0.653312440476536,-1.06267701315365,-0.614779874213837
