#label	date
68174_0	2014.3958
71004_0	2014.5208
71221_0	2014.6042
72754_1	2014.7917
47263_0	2014.7917
68109_0	2014.8125
59658_1	2014.8542
68781_0	2015.0208
45351_1	2015.0417
67328_1	2015.1667
54640_0	2015.2083
14020_1	2015.2292
77420_1	2015.2292
42008_1	2015.4167
75695_1	2015.4167
57820_1	2015.5208
75678_1	2015.625
72166_1	2015.7083
61954_0	2015.7083
40079_1	2015.8125
35559_0	2015.875
63049_1	2015.875
66502_0	2015.8958
73988_1	2016.0625
68000_1	2016.3333
75030_1	2016.5208
72485_1	2016.6042
74841_1	2016.7292
19644_1	2016.75
50252_1	2016.9792
87596_1	2017.0625
71790_1	2017.25
81398_1	2017.6042
78885_1	2017.6042
51260_1	2017.6458
54652_0	2017.6458
68551_1	2017.6458
79551_1	2017.7292
67543_1	2017.75
60719_0	2017.7708
78076_1	2017.9583
74773_1	2018.0208
83431_1	2018.0625
63855_0	2018.1458
76914_1	2018.2292
63399_1	2018.2292
78583_1	2018.25
69543_0	2018.4792
68969_1	2018.5
78643_1	2018.5208
78913_0	2018.5833
77435_0	2018.6042
80245_0	2018.6875
55521_1	2018.7917
77200_1	2018.8333
72677_1	2018.9792
