Time,Year,Timestep,N_m,N_f,NPos_m,NPos_f,N_knowpos_m,N_knowpos_f,NART_m,NART_f,NVS_m,NVS_f,NNotKnowStatus_m,NNotKnowStatus_f,PropMenCirc,Cumulative_Infected_m,Cumulative_Infected_f
1975.0833,1975,4,5289,5364,0,1,0,0,0,0,0,0,0,1,0.0679,0,1
1975.1667,1975,8,5313,5377,0,1,0,0,0,0,0,0,0,1,0.0679,0,1
1975.2500,1975,12,5325,5385,0,1,0,0,0,0,0,0,0,1,0.0684,0,1
1975.3333,1975,16,5336,5395,0,1,0,0,0,0,0,0,0,1,0.0684,0,1
1975.4167,1975,20,5357,5423,0,1,0,0,0,0,0,0,0,1,0.0683,0,1
1975.5000,1975,24,5371,5417,0,1,0,0,0,0,0,0,0,1,0.0683,0,1
1975.5833,1975,28,5394,5431,0,1,0,0,0,0,0,0,0,1,0.0682,0,1
1975.6667,1975,32,5412,5453,0,1,0,0,0,0,0,0,0,1,0.0687,0,1
1975.7500,1975,36,5417,5455,0,1,0,0,0,0,0,0,0,1,0.0689,0,1
1975.8333,1975,40,5437,5475,1,1,0,0,0,0,0,0,1,1,0.0690,0,1
1975.9167,1975,44,5454,5493,1,1,0,0,0,0,0,0,1,1,0.0688,0,1
1976.0000,1976,0,5456,5499,1,1,0,0,0,0,0,0,1,1,0.0687,0,1
1976.0833,1976,4,5458,5514,1,2,0,0,0,0,0,0,1,2,0.0685,0,2
1976.1667,1976,8,5496,5528,1,2,0,0,0,0,0,0,1,2,0.0686,0,2
1976.2500,1976,12,5500,5528,1,2,0,0,0,0,0,0,1,2,0.0687,0,2
1976.3333,1976,16,5520,5537,1,2,0,0,0,0,0,0,1,2,0.0690,0,2
1976.4167,1976,20,5545,5556,1,2,0,0,0,0,0,0,1,2,0.0693,0,2
1976.5000,1976,24,5554,5561,1,2,0,0,0,0,0,0,1,2,0.0699,0,2
1976.5833,1976,28,5568,5570,1,2,0,0,0,0,0,0,1,2,0.0693,0,2
