Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,2189,0,1107,0,1082,0,0,0,0,0,0,0,0,0,0.0587,0,0,0,24,0.4810,0.3339,0.1850,0.0000,0.0000,0.0000,0,0,0,0,0,0,219,170,197,202,149,84,86,221,169,183,206,139,81,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,2328,0,1156,0,1172,0,0,0,0,0,0,0,0,0,0.0614,0,0,0,57,0.4832,0.3372,0.1796,0.0000,0.0000,0.0000,0,0,0,0,0,0,255,181,189,211,144,96,80,277,178,192,210,144,88,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,2467,0,1220,0,1247,0,0,0,0,0,0,0,0,0,0.0590,0,0,0,87,0.4844,0.3344,0.1812,0.0000,0.0000,0.0000,0,0,0,0,0,0,284,192,191,228,146,90,89,330,190,184,222,148,86,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,2575,0,1282,0,1293,0,0,0,0,0,0,0,0,0,0.0647,0,0,0,117,0.4792,0.3386,0.1821,0.0000,0.0000,0.0000,0,0,0,0,0,0,312,198,196,238,155,93,90,349,187,201,222,151,93,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,2699,0,1334,0,1365,0,0,0,0,0,0,0,0,0,0.0660,0,0,0,157,0.4880,0.3323,0.1797,0.0000,0.0000,0.0000,0,0,0,0,0,0,288,252,212,240,157,91,94,348,246,210,224,149,96,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,2841,0,1399,0,1442,0,0,0,0,0,0,0,0,0,0.0665,0,0,0,193,0.4935,0.3270,0.1795,0.0000,0.0000,0.0000,0,0,0,0,0,0,306,286,221,237,163,93,93,337,309,215,234,152,103,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,2959,0,1455,0,1504,0,0,0,0,0,0,0,0,0,0.0660,0,0,0,238,0.4900,0.3292,0.1808,0.0000,0.0000,0.0000,0,0,0,0,0,0,310,322,222,255,154,103,89,325,356,233,241,154,107,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,3079,0,1518,0,1561,0,0,0,0,0,0,0,0,0,0.0692,0,0,0,276,0.4878,0.3319,0.1803,0.0000,0.0000,0.0000,0,0,0,0,0,0,316,351,235,261,161,107,87,340,378,244,246,156,106,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,3217,0,1594,0,1623,0,0,0,0,0,0,0,0,0,0.0684,0,0,0,328,0.4874,0.3357,0.1769,0.0000,0.0000,0.0000,0,0,0,0,0,0,352,370,254,253,165,117,83,329,429,247,257,158,113,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,3319,0,1644,0,1675,0,0,0,0,0,0,0,0,0,0.0681,0,0,0,377,0.4917,0.3332,0.1751,0.0000,0.0000,0.0000,0,0,0,0,0,0,337,365,309,254,180,117,82,317,420,312,258,164,113,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1910,0.000000,0.000000,0,0,0,0,0.000000,0,3440,0,1712,0,1728,0,0,0,0,0,0,0,0,0,0.0707,0,0,0,419,0.4901,0.3337,0.1762,0.0000,0.0000,0.0000,0,0,0,0,0,0,344,372,337,266,183,123,87,307,408,359,269,178,112,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1911,0.000000,0.000000,0,0,0,0,0.000000,0,3567,0,1766,0,1801,0,0,0,0,0,0,0,0,0,0.0713,0,0,0,468,0.4875,0.3359,0.1766,0.0000,0.0000,0.0000,0,0,0,0,0,0,348,382,367,269,191,118,91,321,389,414,274,183,118,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1912,0.000000,0.000000,0,0,0,0,0.000000,0,3697,0,1828,0,1869,0,0,0,0,0,0,0,0,0,0.0706,0,0,0,512,0.4866,0.3373,0.1761,0.0000,0.0000,0.0000,0,0,0,0,0,0,329,404,406,268,203,122,96,321,410,442,272,201,118,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1913,0.000000,0.000000,0,0,0,0,0.000000,0,3812,0,1885,0,1927,0,0,0,0,0,0,0,0,0,0.0695,0,0,0,556,0.4858,0.3384,0.1758,0.0000,0.0000,0.0000,0,0,0,0,0,0,337,412,434,270,207,131,94,323,391,490,291,201,123,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1914,0.000000,0.000000,0,0,0,0,0.000000,0,3883,0,1912,0,1971,0,0,0,0,0,0,0,0,0,0.0706,0,0,0,606,0.4862,0.3376,0.1762,0.0000,0.0000,0.0000,0,0,0,0,0,0,299,412,473,289,209,133,97,316,379,532,295,208,124,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1915,0.000000,0.000000,0,0,0,0,0.000000,0,3955,0,1953,0,2002,0,0,0,0,0,0,0,0,0,0.0727,0,0,0,644,0.4857,0.3355,0.1788,0.0000,0.0000,0.0000,0,0,0,0,0,0,272,419,499,312,208,138,105,285,381,571,305,214,127,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1916,0.000000,0.000000,0,0,0,0,0.000000,0,4014,0,1988,0,2026,0,0,0,0,0,0,0,0,0,0.0719,0,0,0,713,0.4856,0.3353,0.1791,0.0000,0.0000,0.0000,0,0,0,0,0,0,261,417,489,359,221,130,111,254,397,547,365,216,130,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1917,0.000000,0.000000,0,0,0,0,0.000000,0,4100,0,2033,0,2067,0,0,0,0,0,0,0,0,0,0.0703,0,0,0,758,0.4827,0.3378,0.1795,0.0000,0.0000,0.0000,0,0,0,0,0,0,243,397,521,393,225,139,115,244,388,539,428,223,131,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1918,0.000000,0.000000,0,0,0,0,0.000000,0,4200,0,2078,0,2122,0,0,0,0,0,0,0,0,0,0.0698,0,0,0,816,0.4826,0.3381,0.1793,0.0000,0.0000,0.0000,0,0,0,0,0,0,260,375,523,435,216,142,127,258,383,519,474,231,133,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1919,0.000000,0.000000,0,0,0,0,0.000000,0,4292,0,2135,0,2157,0,0,0,0,0,0,0,0,0,0.0679,0,0,0,878,0.4811,0.3381,0.1808,0.0000,0.0000,0.0000,0,0,0,0,0,0,294,349,524,476,216,152,124,266,361,535,503,224,142,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1920,0.000000,0.000000,0,0,0,0,0.000000,0,4411,0,2203,0,2208,0,0,0,0,0,0,0,0,0,0.0663,0,0,0,932,0.4802,0.3398,0.1800,0.0000,0.0000,0.0000,0,0,0,0,0,0,317,331,547,492,227,160,129,288,335,523,548,236,155,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1921,0.000000,0.000000,0,0,0,0,0.000000,0,4513,0,2260,0,2253,0,0,0,0,0,0,0,0,0,0.0659,0,0,0,973,0.4799,0.3392,0.1808,0.0000,0.0000,0.0000,0,0,0,0,0,0,335,312,536,540,234,167,136,287,313,528,593,245,156,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1922,0.000000,0.000000,0,0,0,0,0.000000,0,4632,0,2326,0,2306,0,0,0,0,0,0,0,0,0,0.0645,0,0,0,1036,0.4786,0.3413,0.1801,0.0000,0.0000,0.0000,0,0,0,0,0,0,355,308,542,566,240,174,141,292,316,520,634,245,170,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
