Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,2157,0,1102,0,1055,0,0,0,0,0,0,0,0,0,0.0590,0,0,0,32,0.5828,0.3403,0.0770,0.0000,0.0000,0.0000,0,0,0,0,0,0,201,164,213,203,153,88,80,200,156,198,191,149,85,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,2318,0,1189,0,1129,0,0,0,0,0,0,0,0,0,0.0572,0,0,0,63,0.5807,0.3417,0.0777,0.0000,0.0000,0.0000,0,0,0,0,0,0,267,166,214,212,152,94,84,247,160,205,196,148,92,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,2438,0,1260,0,1178,0,0,0,0,0,0,0,0,0,0.0603,0,0,0,103,0.5808,0.3400,0.0792,0.0000,0.0000,0.0000,0,0,0,0,0,0,313,186,206,219,153,88,95,267,182,201,203,145,105,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,2585,0,1329,0,1256,0,0,0,0,0,0,0,0,0,0.0609,0,0,0,130,0.5776,0.3412,0.0812,0.0000,0.0000,0.0000,0,0,0,0,0,0,366,193,201,230,152,91,96,317,183,216,205,148,106,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,2749,0,1416,0,1333,0,0,0,0,0,0,0,0,0,0.0593,0,0,0,153,0.5762,0.3434,0.0804,0.0000,0.0000,0.0000,0,0,0,0,0,0,377,240,214,232,155,101,97,331,227,212,222,148,110,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,2867,0,1478,0,1389,0,0,0,0,0,0,0,0,0,0.0595,0,0,0,193,0.5780,0.3432,0.0788,0.0000,0.0000,0.0000,0,0,0,0,0,0,355,300,220,243,161,102,97,318,280,218,222,155,112,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,3002,0,1539,0,1463,0,0,0,0,0,0,0,0,0,0.0578,0,0,0,232,0.5776,0.3451,0.0773,0.0000,0.0000,0.0000,0,0,0,0,0,0,344,355,228,248,159,105,100,338,308,227,229,167,108,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,3115,0,1605,0,1510,0,0,0,0,0,0,0,0,0,0.0561,0,0,0,273,0.5817,0.3419,0.0764,0.0000,0.0000,0.0000,0,0,0,0,0,0,350,386,233,260,167,111,98,315,345,232,251,168,109,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,3232,0,1654,0,1578,0,0,0,0,0,0,0,0,0,0.0580,0,0,0,312,0.5808,0.3441,0.0752,0.0000,0.0000,0.0000,0,0,0,0,0,0,326,442,229,276,173,113,95,310,401,229,257,174,116,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,3348,0,1719,0,1629,0,0,0,0,0,0,0,0,0,0.0553,0,0,0,350,0.5806,0.3432,0.0762,0.0000,0.0000,0.0000,0,0,0,0,0,0,330,443,286,272,182,112,94,302,397,281,257,183,115,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1910,0.000000,0.000000,0,0,0,0,0.000000,0,3428,0,1759,0,1669,0,0,0,0,0,0,0,0,0,0.0574,0,0,0,406,0.5785,0.3457,0.0758,0.0000,0.0000,0.0000,0,0,0,0,0,0,314,422,357,268,179,124,95,279,396,324,268,177,126,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1911,0.000000,0.000000,0,0,0,0,0.000000,0,3570,0,1826,0,1744,0,0,0,0,0,0,0,0,0,0.0542,0,0,0,445,0.5793,0.3445,0.0762,0.0000,0.0000,0.0000,0,0,0,0,0,0,309,421,409,271,188,120,108,310,391,361,274,180,122,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1912,0.000000,0.000000,0,0,0,0,0.000000,0,3688,0,1888,0,1800,0,0,0,0,0,0,0,0,0,0.0535,0,0,0,488,0.5792,0.3457,0.0751,0.0000,0.0000,0.0000,0,0,0,0,0,0,329,405,443,283,198,123,107,298,390,413,280,186,119,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1913,0.000000,0.000000,0,0,0,0,0.000000,0,3813,0,1957,0,1856,0,0,0,0,0,0,0,0,0,0.0547,0,0,0,547,0.5785,0.3467,0.0747,0.0000,0.0000,0.0000,0,0,0,0,0,0,342,401,496,285,207,122,104,315,361,464,294,186,122,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1914,0.000000,0.000000,0,0,0,0,0.000000,0,3866,0,1979,0,1887,0,0,0,0,0,0,0,0,0,0.0541,0,0,0,596,0.5773,0.3461,0.0766,0.0000,0.0000,0.0000,0,0,0,0,0,0,326,381,528,306,206,126,106,299,359,486,306,199,123,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1915,0.000000,0.000000,0,0,0,0,0.000000,0,3950,0,2012,0,1938,0,0,0,0,0,0,0,0,0,0.0532,0,0,0,638,0.5800,0.3428,0.0772,0.0000,0.0000,0.0000,0,0,0,0,0,0,290,392,567,308,213,132,110,278,367,533,314,203,133,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1916,0.000000,0.000000,0,0,0,0,0.000000,0,4012,0,2024,0,1988,0,0,0,0,0,0,0,0,0,0.0539,0,0,0,690,0.5803,0.3405,0.0793,0.0000,0.0000,0.0000,0,0,0,0,0,0,244,387,579,352,218,133,111,276,374,520,354,208,149,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
