Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,2153,0,1093,0,1060,0,0,0,0,0,0,0,0,0,0.0558,0,0,0,27,0.4580,0.3497,0.1923,0.0000,0.0000,0.0000,0,0,0,0,0,0,202,176,199,207,141,85,83,190,169,188,209,132,92,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,2303,0,1166,0,1137,0,0,0,0,0,0,0,0,0,0.0592,0,0,0,53,0.4603,0.3500,0.1898,0.0000,0.0000,0.0000,0,0,0,0,0,0,243,184,206,214,146,90,83,234,180,193,219,135,90,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,2445,0,1254,0,1191,0,0,0,0,0,0,0,0,0,0.0590,0,0,0,88,0.4613,0.3493,0.1894,0.0000,0.0000,0.0000,0,0,0,0,0,0,311,187,207,222,155,92,80,262,179,197,233,136,94,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,2591,0,1332,0,1259,0,0,0,0,0,0,0,0,0,0.0578,0,0,0,134,0.4601,0.3489,0.1910,0.0000,0.0000,0.0000,0,0,0,0,0,0,372,194,206,231,150,97,82,313,185,192,237,150,93,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,2724,0,1396,0,1328,0,0,0,0,0,0,0,0,0,0.0580,0,0,0,197,0.4570,0.3506,0.1924,0.0000,0.0000,0.0000,0,0,0,0,0,0,385,233,218,226,157,95,82,340,218,194,235,153,97,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,2852,0,1460,0,1392,0,0,0,0,0,0,0,0,0,0.0603,0,0,0,235,0.4600,0.3464,0.1935,0.0000,0.0000,0.0000,0,0,0,0,0,0,382,275,228,227,171,95,82,331,264,214,231,157,101,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,2992,0,1526,0,1466,0,0,0,0,0,0,0,0,0,0.0603,0,0,0,270,0.4576,0.3486,0.1939,0.0000,0.0000,0.0000,0,0,0,0,0,0,362,333,237,236,171,99,88,357,282,233,237,152,110,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,3121,0,1589,0,1532,0,0,0,0,0,0,0,0,0,0.0617,0,0,0,311,0.4588,0.3508,0.1903,0.0000,0.0000,0.0000,0,0,0,0,0,0,342,396,242,243,180,99,87,356,331,239,238,163,110,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,3252,0,1674,0,1578,0,0,0,0,0,0,0,0,0,0.0579,0,0,0,353,0.4619,0.3490,0.1891,0.0000,0.0000,0.0000,0,0,0,0,0,0,356,446,247,255,182,98,90,320,397,233,245,172,111,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,3382,0,1733,0,1649,0,0,0,0,0,0,0,0,0,0.0583,0,0,0,401,0.4610,0.3510,0.1881,0.0000,0.0000,0.0000,0,0,0,0,0,0,356,454,284,266,178,113,82,329,409,259,263,175,116,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
