Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,2160,0,1093,0,1067,0,0,0,0,0,0,0,0,0,0.0576,0,0,0,28,0.5491,0.3569,0.0940,0.0000,0.0000,0.0000,0,0,0,0,0,0,206,162,205,212,137,93,78,190,174,199,195,146,80,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,2299,0,1168,0,1131,0,0,0,0,0,0,0,0,0,0.0522,0,0,0,61,0.5476,0.3584,0.0940,0.0000,0.0000,0.0000,0,0,0,0,0,0,256,174,198,216,146,97,81,238,176,209,183,161,84,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,2437,0,1235,0,1202,0,0,0,0,0,0,0,0,0,0.0526,0,0,0,88,0.5474,0.3586,0.0940,0.0000,0.0000,0.0000,0,0,0,0,0,0,294,184,204,227,144,100,82,283,178,214,190,171,81,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,2582,0,1313,0,1269,0,0,0,0,0,0,0,0,0,0.0541,0,0,0,129,0.5500,0.3571,0.0930,0.0000,0.0000,0.0000,0,0,0,0,0,0,356,196,204,237,140,106,74,321,185,223,197,170,81,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,2702,0,1370,0,1332,0,0,0,0,0,0,0,0,0,0.0569,0,0,0,172,0.5500,0.3553,0.0947,0.0000,0.0000,0.0000,0,0,0,0,0,0,351,237,213,236,154,106,73,326,231,224,201,170,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,2815,0,1429,0,1386,0,0,0,0,0,0,0,0,0,0.0567,0,0,0,227,0.5488,0.3552,0.0959,0.0000,0.0000,0.0000,0,0,0,0,0,0,350,289,208,240,159,101,82,322,265,232,215,168,98,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,2958,0,1498,0,1460,0,0,0,0,0,0,0,0,0,0.0614,0,0,0,276,0.5463,0.3577,0.0960,0.0000,0.0000,0.0000,0,0,0,0,0,0,360,330,223,241,163,100,81,340,308,230,219,178,97,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,3056,0,1553,0,1503,0,0,0,0,0,0,0,0,0,0.0612,0,0,0,333,0.5445,0.3583,0.0972,0.0000,0.0000,0.0000,0,0,0,0,0,0,335,387,226,250,162,112,81,330,352,232,228,177,102,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,3195,0,1612,0,1583,0,0,0,0,0,0,0,0,0,0.0608,0,0,0,375,0.5459,0.3577,0.0964,0.0000,0.0000,0.0000,0,0,0,0,0,0,338,421,238,257,163,111,84,347,390,241,241,178,102,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,3338,0,1686,0,1652,0,0,0,0,0,0,0,0,0,0.0617,0,0,0,423,0.5431,0.3592,0.0977,0.0000,0.0000,0.0000,0,0,0,0,0,0,347,428,288,256,175,110,82,360,390,283,257,169,114,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
