CHIPSROUND,NtotM[18],NtotM[19],NtotM[20],NtotM[21],NtotM[22],NtotM[23],NtotM[24],NtotM[25],NtotM[26],NtotM[27],NtotM[28],NtotM[29],NtotM[30],NtotM[31],NtotM[32],NtotM[33],NtotM[34],NtotM[35],NtotM[36],NtotM[37],NtotM[38],NtotM[39],NtotM[40],NtotM[41],NtotM[42],NtotM[43],NtotM[44],NtotM[45],NtotM[46],NtotM[47],NtotM[48],NtotM[49],NtotM[50],NtotM[51],NtotM[52],NtotM[53],NtotM[54],NtotM[55],NtotM[56],NtotM[57],NtotM[58],NtotM[59],NtotM[60],NtotM[61],NtotM[62],NtotM[63],NtotM[64],NtotM[65],NtotM[66],NtotM[67],NtotM[68],NtotM[69],NtotM[70],NtotM[71],NtotM[72],NtotM[73],NtotM[74],NtotM[75],NtotM[76],NtotM[77],NtotM[78],NtotM[79],NtotM[80],NtotF[18],NtotF[19],NtotF[20],NtotF[21],NtotF[22],NtotF[23],NtotF[24],NtotF[25],NtotF[26],NtotF[27],NtotF[28],NtotF[29],NtotF[30],NtotF[31],NtotF[32],NtotF[33],NtotF[34],NtotF[35],NtotF[36],NtotF[37],NtotF[38],NtotF[39],NtotF[40],NtotF[41],NtotF[42],NtotF[43],NtotF[44],NtotF[45],NtotF[46],NtotF[47],NtotF[48],NtotF[49],NtotF[50],NtotF[51],NtotF[52],NtotF[53],NtotF[54],NtotF[55],NtotF[56],NtotF[57],NtotF[58],NtotF[59],NtotF[60],NtotF[61],NtotF[62],NtotF[63],NtotF[64],NtotF[65],NtotF[66],NtotF[67],NtotF[68],NtotF[69],NtotF[70],NtotF[71],NtotF[72],NtotF[73],NtotF[74],NtotF[75],NtotF[76],NtotF[77],NtotF[78],NtotF[79],NtotF[80],NposM[18],NposM[19],NposM[20],NposM[21],NposM[22],NposM[23],NposM[24],NposM[25],NposM[26],NposM[27],NposM[28],NposM[29],NposM[30],NposM[31],NposM[32],NposM[33],NposM[34],NposM[35],NposM[36],NposM[37],NposM[38],NposM[39],NposM[40],NposM[41],NposM[42],NposM[43],NposM[44],NposM[45],NposM[46],NposM[47],NposM[48],NposM[49],NposM[50],NposM[51],NposM[52],NposM[53],NposM[54],NposM[55],NposM[56],NposM[57],NposM[58],NposM[59],NposM[60],NposM[61],NposM[62],NposM[63],NposM[64],NposM[65],NposM[66],NposM[67],NposM[68],NposM[69],NposM[70],NposM[71],NposM[72],NposM[73],NposM[74],NposM[75],NposM[76],NposM[77],NposM[78],NposM[79],NposM[80],NposF[18],NposF[19],NposF[20],NposF[21],NposF[22],NposF[23],NposF[24],NposF[25],NposF[26],NposF[27],NposF[28],NposF[29],NposF[30],NposF[31],NposF[32],NposF[33],NposF[34],NposF[35],NposF[36],NposF[37],NposF[38],NposF[39],NposF[40],NposF[41],NposF[42],NposF[43],NposF[44],NposF[45],NposF[46],NposF[47],NposF[48],NposF[49],NposF[50],NposF[51],NposF[52],NposF[53],NposF[54],NposF[55],NposF[56],NposF[57],NposF[58],NposF[59],NposF[60],NposF[61],NposF[62],NposF[63],NposF[64],NposF[65],NposF[66],NposF[67],NposF[68],NposF[69],NposF[70],NposF[71],NposF[72],NposF[73],NposF[74],NposF[75],NposF[76],NposF[77],NposF[78],NposF[79],NposF[80],NawareM[18],NawareM[19],NawareM[20],NawareM[21],NawareM[22],NawareM[23],NawareM[24],NawareM[25],NawareM[26],NawareM[27],NawareM[28],NawareM[29],NawareM[30],NawareM[31],NawareM[32],NawareM[33],NawareM[34],NawareM[35],NawareM[36],NawareM[37],NawareM[38],NawareM[39],NawareM[40],NawareM[41],NawareM[42],NawareM[43],NawareM[44],NawareM[45],NawareM[46],NawareM[47],NawareM[48],NawareM[49],NawareM[50],NawareM[51],NawareM[52],NawareM[53],NawareM[54],NawareM[55],NawareM[56],NawareM[57],NawareM[58],NawareM[59],NawareM[60],NawareM[61],NawareM[62],NawareM[63],NawareM[64],NawareM[65],NawareM[66],NawareM[67],NawareM[68],NawareM[69],NawareM[70],NawareM[71],NawareM[72],NawareM[73],NawareM[74],NawareM[75],NawareM[76],NawareM[77],NawareM[78],NawareM[79],NawareM[80],NawareF[18],NawareF[19],NawareF[20],NawareF[21],NawareF[22],NawareF[23],NawareF[24],NawareF[25],NawareF[26],NawareF[27],NawareF[28],NawareF[29],NawareF[30],NawareF[31],NawareF[32],NawareF[33],NawareF[34],NawareF[35],NawareF[36],NawareF[37],NawareF[38],NawareF[39],NawareF[40],NawareF[41],NawareF[42],NawareF[43],NawareF[44],NawareF[45],NawareF[46],NawareF[47],NawareF[48],NawareF[49],NawareF[50],NawareF[51],NawareF[52],NawareF[53],NawareF[54],NawareF[55],NawareF[56],NawareF[57],NawareF[58],NawareF[59],NawareF[60],NawareF[61],NawareF[62],NawareF[63],NawareF[64],NawareF[65],NawareF[66],NawareF[67],NawareF[68],NawareF[69],NawareF[70],NawareF[71],NawareF[72],NawareF[73],NawareF[74],NawareF[75],NawareF[76],NawareF[77],NawareF[78],NawareF[79],NawareF[80],NonARTM[18],NonARTM[19],NonARTM[20],NonARTM[21],NonARTM[22],NonARTM[23],NonARTM[24],NonARTM[25],NonARTM[26],NonARTM[27],NonARTM[28],NonARTM[29],NonARTM[30],NonARTM[31],NonARTM[32],NonARTM[33],NonARTM[34],NonARTM[35],NonARTM[36],NonARTM[37],NonARTM[38],NonARTM[39],NonARTM[40],NonARTM[41],NonARTM[42],NonARTM[43],NonARTM[44],NonARTM[45],NonARTM[46],NonARTM[47],NonARTM[48],NonARTM[49],NonARTM[50],NonARTM[51],NonARTM[52],NonARTM[53],NonARTM[54],NonARTM[55],NonARTM[56],NonARTM[57],NonARTM[58],NonARTM[59],NonARTM[60],NonARTM[61],NonARTM[62],NonARTM[63],NonARTM[64],NonARTM[65],NonARTM[66],NonARTM[67],NonARTM[68],NonARTM[69],NonARTM[70],NonARTM[71],NonARTM[72],NonARTM[73],NonARTM[74],NonARTM[75],NonARTM[76],NonARTM[77],NonARTM[78],NonARTM[79],NonARTM[80],NonARTF[18],NonARTF[19],NonARTF[20],NonARTF[21],NonARTF[22],NonARTF[23],NonARTF[24],NonARTF[25],NonARTF[26],NonARTF[27],NonARTF[28],NonARTF[29],NonARTF[30],NonARTF[31],NonARTF[32],NonARTF[33],NonARTF[34],NonARTF[35],NonARTF[36],NonARTF[37],NonARTF[38],NonARTF[39],NonARTF[40],NonARTF[41],NonARTF[42],NonARTF[43],NonARTF[44],NonARTF[45],NonARTF[46],NonARTF[47],NonARTF[48],NonARTF[49],NonARTF[50],NonARTF[51],NonARTF[52],NonARTF[53],NonARTF[54],NonARTF[55],NonARTF[56],NonARTF[57],NonARTF[58],NonARTF[59],NonARTF[60],NonARTF[61],NonARTF[62],NonARTF[63],NonARTF[64],NonARTF[65],NonARTF[66],NonARTF[67],NonARTF[68],NonARTF[69],NonARTF[70],NonARTF[71],NonARTF[72],NonARTF[73],NonARTF[74],NonARTF[75],NonARTF[76],NonARTF[77],NonARTF[78],NonARTF[79],NonARTF[80],NvsM[18],NvsM[19],NvsM[20],NvsM[21],NvsM[22],NvsM[23],NvsM[24],NvsM[25],NvsM[26],NvsM[27],NvsM[28],NvsM[29],NvsM[30],NvsM[31],NvsM[32],NvsM[33],NvsM[34],NvsM[35],NvsM[36],NvsM[37],NvsM[38],NvsM[39],NvsM[40],NvsM[41],NvsM[42],NvsM[43],NvsM[44],NvsM[45],NvsM[46],NvsM[47],NvsM[48],NvsM[49],NvsM[50],NvsM[51],NvsM[52],NvsM[53],NvsM[54],NvsM[55],NvsM[56],NvsM[57],NvsM[58],NvsM[59],NvsM[60],NvsM[61],NvsM[62],NvsM[63],NvsM[64],NvsM[65],NvsM[66],NvsM[67],NvsM[68],NvsM[69],NvsM[70],NvsM[71],NvsM[72],NvsM[73],NvsM[74],NvsM[75],NvsM[76],NvsM[77],NvsM[78],NvsM[79],NvsM[80],NvsF[18],NvsF[19],NvsF[20],NvsF[21],NvsF[22],NvsF[23],NvsF[24],NvsF[25],NvsF[26],NvsF[27],NvsF[28],NvsF[29],NvsF[30],NvsF[31],NvsF[32],NvsF[33],NvsF[34],NvsF[35],NvsF[36],NvsF[37],NvsF[38],NvsF[39],NvsF[40],NvsF[41],NvsF[42],NvsF[43],NvsF[44],NvsF[45],NvsF[46],NvsF[47],NvsF[48],NvsF[49],NvsF[50],NvsF[51],NvsF[52],NvsF[53],NvsF[54],NvsF[55],NvsF[56],NvsF[57],NvsF[58],NvsF[59],NvsF[60],NvsF[61],NvsF[62],NvsF[63],NvsF[64],NvsF[65],NvsF[66],NvsF[67],NvsF[68],NvsF[69],NvsF[70],NvsF[71],NvsF[72],NvsF[73],NvsF[74],NvsF[75],NvsF[76],NvsF[77],NvsF[78],NvsF[79],NvsF[80],
1,815,693,687,654,600,532,510,461,420,417,354,302,284,288,232,252,261,172,179,165,145,151,124,145,139,125,156,96,118,93,84,77,77,106,77,76,65,66,73,83,74,45,36,53,45,48,51,28,34,34,34,39,20,33,20,33,24,15,19,18,17,17,43,827,777,752,721,662,645,631,628,570,550,494,488,419,416,419,378,407,310,303,320,287,258,231,244,206,224,215,178,186,185,141,168,114,148,133,158,96,134,95,98,121,102,105,106,82,101,87,61,64,58,57,48,37,64,37,26,33,19,19,31,25,5,64,31,45,57,56,67,60,58,65,68,79,51,41,61,56,49,40,60,41,30,28,35,21,32,25,28,28,32,24,20,24,14,23,25,28,11,21,12,8,10,17,13,7,4,11,3,7,5,1,7,6,6,6,3,3,2,1,2,2,2,0,1,1,4,41,49,79,84,90,82,114,128,114,110,110,118,92,99,107,117,133,69,72,77,80,61,68,68,49,65,67,48,46,43,28,45,27,27,23,23,14,29,17,17,15,17,10,13,8,6,9,6,4,6,5,0,1,3,3,0,1,1,1,3,1,0,1,9,19,16,29,40,33,33,40,42,51,37,27,39,37,34,29,41,28,21,19,27,17,24,17,21,20,26,20,13,19,10,19,18,25,9,18,10,8,6,15,10,5,2,7,1,7,4,1,6,5,4,6,2,3,2,1,1,1,2,0,1,0,3,10,21,30,32,41,42,68,71,69,65,71,77,63,75,71,91,89,54,50,57,53,45,51,52,35,51,51,35,33,29,25,37,23,18,19,19,10,19,12,15,14,16,8,9,6,4,7,4,4,4,4,0,0,3,3,0,1,1,1,3,1,0,1,3,6,7,11,14,15,21,19,22,36,23,17,30,23,19,18,26,16,12,8,19,11,16,10,16,15,17,12,8,14,9,13,10,20,6,11,6,3,5,6,8,2,1,6,0,0,3,1,4,3,4,3,0,1,0,0,1,0,2,0,1,0,3,5,9,8,19,16,21,33,41,30,41,43,44,37,41,45,55,62,34,33,38,37,29,40,36,21,38,36,25,23,16,18,22,16,14,14,14,8,12,8,11,11,11,7,8,4,2,4,3,2,3,3,0,0,1,2,0,1,1,1,3,0,0,1,3,5,7,9,14,12,21,17,20,34,21,16,30,22,19,15,26,16,11,8,18,10,15,10,16,13,15,12,8,13,8,13,10,17,6,11,6,3,5,5,8,2,1,4,0,0,3,1,4,3,4,2,0,1,0,0,1,0,2,0,1,0,3,4,6,7,13,16,19,30,38,28,37,40,42,33,39,41,53,55,30,31,35,34,29,38,34,20,37,32,23,23,16,17,20,16,13,14,14,7,12,8,11,10,8,7,6,4,2,4,3,2,3,3,0,0,1,2,0,0,1,1,3,0,0,1,
2,820,700,646,619,587,569,504,464,454,441,356,350,270,257,262,255,246,214,184,188,175,146,123,138,144,135,117,113,122,100,101,94,73,55,74,69,71,73,34,73,66,62,54,45,34,45,40,45,43,40,27,37,29,40,29,19,25,29,15,26,16,10,56,813,787,751,750,690,703,625,621,615,597,561,526,454,463,383,358,377,322,356,310,262,276,248,219,221,192,211,187,197,160,157,159,116,143,113,113,109,108,111,108,97,90,101,83,83,83,75,88,67,61,48,64,49,51,42,41,32,26,24,16,30,15,83,29,30,36,45,60,58,64,47,60,65,56,61,46,44,53,52,51,34,43,41,38,37,26,28,35,30,22,21,23,16,22,16,15,12,16,17,11,15,6,14,10,7,13,9,7,10,6,8,3,6,9,5,5,7,1,3,3,2,2,2,1,0,9,29,56,50,57,90,100,93,97,117,130,123,123,120,117,87,94,101,97,101,87,67,67,75,54,71,52,60,46,51,46,40,34,20,34,27,21,23,14,21,22,17,13,7,14,8,7,6,9,12,8,4,9,3,4,5,1,3,1,1,0,0,3,3,13,15,25,28,44,41,47,35,48,55,50,52,43,36,41,46,46,26,39,35,34,31,21,22,31,21,17,21,21,14,17,12,13,11,15,14,11,14,6,12,9,6,11,9,6,10,6,7,3,4,7,4,5,7,1,2,3,2,2,2,1,0,7,15,21,35,36,66,65,70,78,90,108,100,109,95,98,74,82,90,88,93,74,60,61,65,44,64,46,52,45,49,42,37,30,17,30,26,18,22,14,20,20,17,13,7,12,8,7,5,7,9,8,4,8,3,3,5,1,3,1,1,0,0,3,3,7,6,14,11,21,24,26,17,29,30,31,38,37,24,33,33,33,18,24,18,19,21,15,15,19,18,16,16,17,8,15,8,8,8,11,9,9,12,4,6,6,5,9,7,4,10,3,5,2,3,6,3,4,7,1,1,2,1,1,0,1,0,3,7,9,14,23,35,32,48,44,52,65,59,72,66,68,53,63,58,61,70,54,36,44,49,31,49,36,39,34,38,36,30,23,16,23,19,15,18,13,14,12,9,10,4,8,6,5,4,6,7,6,3,6,2,1,3,1,3,1,0,0,0,2,3,7,6,13,11,17,21,24,15,27,24,27,33,35,23,28,30,29,17,22,16,18,19,15,13,19,16,14,13,15,7,14,7,8,8,11,8,9,10,4,6,6,5,8,6,4,7,2,5,2,3,6,2,4,7,1,1,2,1,1,0,1,0,3,6,6,12,19,30,28,46,40,48,54,55,66,61,60,50,58,50,54,62,52,32,37,44,29,48,34,36,31,33,35,27,23,15,20,17,13,14,13,12,11,8,10,4,8,4,5,4,6,7,6,3,5,2,1,3,0,3,1,0,0,0,2,3,
3,963,882,765,753,736,691,663,612,583,548,436,445,394,356,354,329,305,283,280,281,231,203,179,162,168,205,137,139,147,140,126,137,127,137,90,74,98,67,81,68,85,92,85,60,63,59,58,51,55,59,39,48,42,43,44,32,18,25,32,16,21,18,75,930,878,891,868,826,770,757,728,668,661,628,631,565,521,521,461,420,430,395,397,328,315,309,326,256,239,227,218,236,231,218,194,187,135,172,141,136,116,143,120,139,108,102,122,94,110,76,78,84,83,71,67,77,61,52,44,51,38,39,35,21,22,132,27,42,45,47,73,69,68,78,72,69,67,71,57,62,56,70,64,52,50,57,47,42,28,29,30,51,30,32,29,25,26,29,23,20,20,13,23,8,25,12,10,13,12,12,13,6,12,5,8,4,3,8,7,5,3,1,2,3,1,2,3,1,9,30,49,61,70,84,109,105,126,111,141,154,144,130,135,152,102,107,109,126,127,84,87,79,89,69,59,69,48,64,71,58,44,49,28,46,36,24,19,18,26,22,14,17,12,18,8,11,7,7,16,10,6,10,3,3,3,5,2,3,0,2,1,4,9,28,35,33,63,61,55,67,63,62,60,61,55,51,46,65,60,46,47,50,43,36,26,27,24,46,28,28,28,23,25,29,21,15,19,12,23,6,23,12,9,13,12,12,13,5,12,5,8,3,2,8,6,5,3,1,2,2,1,2,3,1,9,8,32,45,53,68,91,91,105,97,127,136,135,112,129,140,94,101,105,117,123,79,77,77,86,64,57,67,44,63,66,57,43,46,26,45,32,23,19,17,25,21,14,17,12,17,8,11,7,6,15,9,6,9,3,3,3,3,2,2,0,1,1,3,5,18,24,25,44,43,43,41,39,43,48,48,41,41,32,54,49,34,35,41,31,27,20,20,19,30,24,24,24,21,23,24,18,13,12,9,17,6,18,6,9,13,11,11,11,5,11,4,6,2,2,8,6,4,3,1,2,2,0,2,3,1,6,4,26,31,36,56,61,65,77,80,91,110,96,83,97,109,79,84,78,100,103,68,62,65,67,48,49,53,33,55,55,46,39,31,24,41,28,20,13,15,20,16,11,13,10,16,6,11,6,3,13,9,5,8,3,3,1,3,2,1,0,1,1,3,4,17,22,22,41,36,37,39,35,41,39,43,41,37,29,48,44,32,30,38,29,25,19,20,19,28,21,21,22,20,22,21,15,12,12,9,15,6,17,6,7,12,11,11,10,5,10,4,5,2,2,8,6,4,3,1,2,2,0,2,3,1,6,4,20,24,30,47,49,54,73,75,85,104,83,75,88,99,78,77,72,88,91,65,58,59,64,46,49,51,32,48,48,43,35,28,22,39,24,18,12,15,20,14,9,12,10,13,6,10,6,3,12,7,5,6,3,3,1,2,2,1,0,0,1,3,
