CHIPSROUND,NtotM[18],NtotM[19],NtotM[20],NtotM[21],NtotM[22],NtotM[23],NtotM[24],NtotM[25],NtotM[26],NtotM[27],NtotM[28],NtotM[29],NtotM[30],NtotM[31],NtotM[32],NtotM[33],NtotM[34],NtotM[35],NtotM[36],NtotM[37],NtotM[38],NtotM[39],NtotM[40],NtotM[41],NtotM[42],NtotM[43],NtotM[44],NtotM[45],NtotM[46],NtotM[47],NtotM[48],NtotM[49],NtotM[50],NtotM[51],NtotM[52],NtotM[53],NtotM[54],NtotM[55],NtotM[56],NtotM[57],NtotM[58],NtotM[59],NtotM[60],NtotM[61],NtotM[62],NtotM[63],NtotM[64],NtotM[65],NtotM[66],NtotM[67],NtotM[68],NtotM[69],NtotM[70],NtotM[71],NtotM[72],NtotM[73],NtotM[74],NtotM[75],NtotM[76],NtotM[77],NtotM[78],NtotM[79],NtotM[80],NtotF[18],NtotF[19],NtotF[20],NtotF[21],NtotF[22],NtotF[23],NtotF[24],NtotF[25],NtotF[26],NtotF[27],NtotF[28],NtotF[29],NtotF[30],NtotF[31],NtotF[32],NtotF[33],NtotF[34],NtotF[35],NtotF[36],NtotF[37],NtotF[38],NtotF[39],NtotF[40],NtotF[41],NtotF[42],NtotF[43],NtotF[44],NtotF[45],NtotF[46],NtotF[47],NtotF[48],NtotF[49],NtotF[50],NtotF[51],NtotF[52],NtotF[53],NtotF[54],NtotF[55],NtotF[56],NtotF[57],NtotF[58],NtotF[59],NtotF[60],NtotF[61],NtotF[62],NtotF[63],NtotF[64],NtotF[65],NtotF[66],NtotF[67],NtotF[68],NtotF[69],NtotF[70],NtotF[71],NtotF[72],NtotF[73],NtotF[74],NtotF[75],NtotF[76],NtotF[77],NtotF[78],NtotF[79],NtotF[80],NposM[18],NposM[19],NposM[20],NposM[21],NposM[22],NposM[23],NposM[24],NposM[25],NposM[26],NposM[27],NposM[28],NposM[29],NposM[30],NposM[31],NposM[32],NposM[33],NposM[34],NposM[35],NposM[36],NposM[37],NposM[38],NposM[39],NposM[40],NposM[41],NposM[42],NposM[43],NposM[44],NposM[45],NposM[46],NposM[47],NposM[48],NposM[49],NposM[50],NposM[51],NposM[52],NposM[53],NposM[54],NposM[55],NposM[56],NposM[57],NposM[58],NposM[59],NposM[60],NposM[61],NposM[62],NposM[63],NposM[64],NposM[65],NposM[66],NposM[67],NposM[68],NposM[69],NposM[70],NposM[71],NposM[72],NposM[73],NposM[74],NposM[75],NposM[76],NposM[77],NposM[78],NposM[79],NposM[80],NposF[18],NposF[19],NposF[20],NposF[21],NposF[22],NposF[23],NposF[24],NposF[25],NposF[26],NposF[27],NposF[28],NposF[29],NposF[30],NposF[31],NposF[32],NposF[33],NposF[34],NposF[35],NposF[36],NposF[37],NposF[38],NposF[39],NposF[40],NposF[41],NposF[42],NposF[43],NposF[44],NposF[45],NposF[46],NposF[47],NposF[48],NposF[49],NposF[50],NposF[51],NposF[52],NposF[53],NposF[54],NposF[55],NposF[56],NposF[57],NposF[58],NposF[59],NposF[60],NposF[61],NposF[62],NposF[63],NposF[64],NposF[65],NposF[66],NposF[67],NposF[68],NposF[69],NposF[70],NposF[71],NposF[72],NposF[73],NposF[74],NposF[75],NposF[76],NposF[77],NposF[78],NposF[79],NposF[80],NawareM[18],NawareM[19],NawareM[20],NawareM[21],NawareM[22],NawareM[23],NawareM[24],NawareM[25],NawareM[26],NawareM[27],NawareM[28],NawareM[29],NawareM[30],NawareM[31],NawareM[32],NawareM[33],NawareM[34],NawareM[35],NawareM[36],NawareM[37],NawareM[38],NawareM[39],NawareM[40],NawareM[41],NawareM[42],NawareM[43],NawareM[44],NawareM[45],NawareM[46],NawareM[47],NawareM[48],NawareM[49],NawareM[50],NawareM[51],NawareM[52],NawareM[53],NawareM[54],NawareM[55],NawareM[56],NawareM[57],NawareM[58],NawareM[59],NawareM[60],NawareM[61],NawareM[62],NawareM[63],NawareM[64],NawareM[65],NawareM[66],NawareM[67],NawareM[68],NawareM[69],NawareM[70],NawareM[71],NawareM[72],NawareM[73],NawareM[74],NawareM[75],NawareM[76],NawareM[77],NawareM[78],NawareM[79],NawareM[80],NawareF[18],NawareF[19],NawareF[20],NawareF[21],NawareF[22],NawareF[23],NawareF[24],NawareF[25],NawareF[26],NawareF[27],NawareF[28],NawareF[29],NawareF[30],NawareF[31],NawareF[32],NawareF[33],NawareF[34],NawareF[35],NawareF[36],NawareF[37],NawareF[38],NawareF[39],NawareF[40],NawareF[41],NawareF[42],NawareF[43],NawareF[44],NawareF[45],NawareF[46],NawareF[47],NawareF[48],NawareF[49],NawareF[50],NawareF[51],NawareF[52],NawareF[53],NawareF[54],NawareF[55],NawareF[56],NawareF[57],NawareF[58],NawareF[59],NawareF[60],NawareF[61],NawareF[62],NawareF[63],NawareF[64],NawareF[65],NawareF[66],NawareF[67],NawareF[68],NawareF[69],NawareF[70],NawareF[71],NawareF[72],NawareF[73],NawareF[74],NawareF[75],NawareF[76],NawareF[77],NawareF[78],NawareF[79],NawareF[80],NonARTM[18],NonARTM[19],NonARTM[20],NonARTM[21],NonARTM[22],NonARTM[23],NonARTM[24],NonARTM[25],NonARTM[26],NonARTM[27],NonARTM[28],NonARTM[29],NonARTM[30],NonARTM[31],NonARTM[32],NonARTM[33],NonARTM[34],NonARTM[35],NonARTM[36],NonARTM[37],NonARTM[38],NonARTM[39],NonARTM[40],NonARTM[41],NonARTM[42],NonARTM[43],NonARTM[44],NonARTM[45],NonARTM[46],NonARTM[47],NonARTM[48],NonARTM[49],NonARTM[50],NonARTM[51],NonARTM[52],NonARTM[53],NonARTM[54],NonARTM[55],NonARTM[56],NonARTM[57],NonARTM[58],NonARTM[59],NonARTM[60],NonARTM[61],NonARTM[62],NonARTM[63],NonARTM[64],NonARTM[65],NonARTM[66],NonARTM[67],NonARTM[68],NonARTM[69],NonARTM[70],NonARTM[71],NonARTM[72],NonARTM[73],NonARTM[74],NonARTM[75],NonARTM[76],NonARTM[77],NonARTM[78],NonARTM[79],NonARTM[80],NonARTF[18],NonARTF[19],NonARTF[20],NonARTF[21],NonARTF[22],NonARTF[23],NonARTF[24],NonARTF[25],NonARTF[26],NonARTF[27],NonARTF[28],NonARTF[29],NonARTF[30],NonARTF[31],NonARTF[32],NonARTF[33],NonARTF[34],NonARTF[35],NonARTF[36],NonARTF[37],NonARTF[38],NonARTF[39],NonARTF[40],NonARTF[41],NonARTF[42],NonARTF[43],NonARTF[44],NonARTF[45],NonARTF[46],NonARTF[47],NonARTF[48],NonARTF[49],NonARTF[50],NonARTF[51],NonARTF[52],NonARTF[53],NonARTF[54],NonARTF[55],NonARTF[56],NonARTF[57],NonARTF[58],NonARTF[59],NonARTF[60],NonARTF[61],NonARTF[62],NonARTF[63],NonARTF[64],NonARTF[65],NonARTF[66],NonARTF[67],NonARTF[68],NonARTF[69],NonARTF[70],NonARTF[71],NonARTF[72],NonARTF[73],NonARTF[74],NonARTF[75],NonARTF[76],NonARTF[77],NonARTF[78],NonARTF[79],NonARTF[80],NvsM[18],NvsM[19],NvsM[20],NvsM[21],NvsM[22],NvsM[23],NvsM[24],NvsM[25],NvsM[26],NvsM[27],NvsM[28],NvsM[29],NvsM[30],NvsM[31],NvsM[32],NvsM[33],NvsM[34],NvsM[35],NvsM[36],NvsM[37],NvsM[38],NvsM[39],NvsM[40],NvsM[41],NvsM[42],NvsM[43],NvsM[44],NvsM[45],NvsM[46],NvsM[47],NvsM[48],NvsM[49],NvsM[50],NvsM[51],NvsM[52],NvsM[53],NvsM[54],NvsM[55],NvsM[56],NvsM[57],NvsM[58],NvsM[59],NvsM[60],NvsM[61],NvsM[62],NvsM[63],NvsM[64],NvsM[65],NvsM[66],NvsM[67],NvsM[68],NvsM[69],NvsM[70],NvsM[71],NvsM[72],NvsM[73],NvsM[74],NvsM[75],NvsM[76],NvsM[77],NvsM[78],NvsM[79],NvsM[80],NvsF[18],NvsF[19],NvsF[20],NvsF[21],NvsF[22],NvsF[23],NvsF[24],NvsF[25],NvsF[26],NvsF[27],NvsF[28],NvsF[29],NvsF[30],NvsF[31],NvsF[32],NvsF[33],NvsF[34],NvsF[35],NvsF[36],NvsF[37],NvsF[38],NvsF[39],NvsF[40],NvsF[41],NvsF[42],NvsF[43],NvsF[44],NvsF[45],NvsF[46],NvsF[47],NvsF[48],NvsF[49],NvsF[50],NvsF[51],NvsF[52],NvsF[53],NvsF[54],NvsF[55],NvsF[56],NvsF[57],NvsF[58],NvsF[59],NvsF[60],NvsF[61],NvsF[62],NvsF[63],NvsF[64],NvsF[65],NvsF[66],NvsF[67],NvsF[68],NvsF[69],NvsF[70],NvsF[71],NvsF[72],NvsF[73],NvsF[74],NvsF[75],NvsF[76],NvsF[77],NvsF[78],NvsF[79],NvsF[80],
1,789,674,703,634,578,529,501,471,428,391,360,321,293,311,227,248,259,178,199,174,172,156,134,167,148,127,165,110,103,110,105,81,90,107,77,79,83,64,72,79,82,48,43,66,51,51,53,28,42,47,44,40,25,42,19,27,26,18,26,22,16,21,40,785,791,746,731,664,616,632,600,559,540,488,462,412,418,379,376,391,297,288,310,272,270,209,244,198,205,177,173,185,192,158,148,107,145,132,142,83,119,87,107,102,90,85,85,73,78,83,63,64,45,59,47,31,43,33,27,26,17,17,29,21,8,55,21,32,46,35,43,44,45,54,52,52,59,40,34,43,36,43,38,24,41,28,34,22,32,22,21,15,33,16,15,24,17,15,13,23,13,11,20,8,8,13,10,9,5,12,7,6,7,5,5,5,7,4,4,5,2,3,6,0,3,2,1,3,5,58,74,103,113,106,105,126,116,117,139,144,118,100,123,107,104,107,102,74,96,78,81,56,54,47,67,43,49,46,48,48,39,20,37,34,36,15,24,20,27,18,22,17,16,11,8,16,11,7,10,10,7,0,6,2,0,1,2,3,2,2,0,5,4,10,18,18,18,19,20,33,30,30,42,31,24,30,24,25,29,15,29,22,25,20,28,16,13,12,25,10,13,17,14,12,9,18,12,10,13,5,6,9,10,9,5,5,3,5,7,4,3,4,6,4,4,5,2,1,4,0,2,2,0,3,4,30,35,49,60,58,66,81,82,89,99,100,82,77,95,82,79,83,83,59,76,65,67,46,42,43,53,36,39,37,37,41,32,20,27,29,33,12,22,13,21,13,20,13,14,9,7,11,10,7,8,9,6,0,6,1,0,1,1,3,2,2,0,5,3,5,6,7,9,7,4,17,15,15,22,19,16,21,9,20,18,11,14,14,19,14,17,10,7,6,15,8,6,11,10,7,4,13,8,7,7,4,4,9,8,6,3,4,2,1,5,3,1,4,6,2,2,5,1,1,3,0,1,1,0,3,3,8,18,19,24,29,32,38,51,38,68,56,59,40,66,47,50,52,56,33,52,46,46,34,30,29,39,23,29,30,29,27,22,13,18,22,26,12,16,9,12,8,14,8,10,3,4,8,6,5,5,7,5,0,4,1,0,0,1,3,2,2,0,5,3,4,5,7,9,6,3,16,14,12,20,19,15,20,7,20,16,10,12,12,19,13,14,9,7,6,15,8,6,10,10,6,4,12,8,6,7,4,3,8,8,6,3,4,2,1,4,3,1,4,6,2,2,5,1,1,3,0,1,1,0,3,3,7,16,18,24,25,27,32,48,38,66,53,53,37,62,42,47,51,54,33,46,42,45,34,28,29,38,21,26,30,29,27,21,12,17,20,26,11,16,7,12,8,14,8,10,3,4,7,6,5,5,7,4,0,4,1,0,0,1,3,2,2,0,5,
2,765,733,627,606,607,554,487,466,446,452,359,325,277,271,269,275,239,208,185,197,192,150,146,142,154,155,125,117,129,117,87,110,94,58,87,68,72,75,44,68,67,63,60,52,41,57,45,49,46,41,32,46,38,41,31,26,24,26,17,24,20,13,58,820,753,711,758,683,713,624,590,615,577,552,521,446,440,383,364,341,323,344,297,247,266,232,225,199,194,206,173,163,154,157,166,131,128,108,113,110,98,94,95,85,96,83,74,69,68,68,68,64,65,49,50,51,51,39,27,32,27,19,15,24,15,72,13,23,28,24,42,45,32,49,51,54,47,44,39,39,34,39,36,41,30,35,36,20,25,25,27,29,16,12,23,15,15,21,21,8,18,15,16,14,12,7,9,11,12,9,5,10,7,6,8,7,4,6,8,1,3,2,4,5,3,4,3,0,8,48,75,67,86,104,117,106,113,144,125,131,151,123,124,90,105,92,94,91,96,68,80,78,67,65,35,61,57,38,44,34,43,36,28,20,31,29,25,20,23,15,29,15,16,13,12,13,8,14,11,4,10,8,7,3,6,2,0,0,2,3,1,4,4,6,17,16,24,34,25,39,40,42,39,38,33,34,25,36,28,33,25,30,31,19,23,18,25,26,16,10,20,10,12,16,20,7,17,14,13,12,10,5,9,11,12,8,3,10,7,6,8,6,3,6,8,1,3,2,4,5,3,4,3,0,8,20,32,51,63,76,96,84,101,117,107,117,131,112,113,79,98,80,86,85,93,65,75,67,61,60,33,53,54,35,41,33,41,35,26,19,27,28,24,17,22,14,28,13,16,12,12,12,7,13,10,4,10,7,6,3,5,2,0,0,2,3,1,4,1,3,9,8,15,18,18,26,24,28,25,27,25,27,18,25,18,22,16,20,21,14,17,13,16,19,13,7,12,8,10,10,16,5,10,11,12,10,8,4,9,8,10,6,3,7,6,3,6,6,3,5,6,1,1,2,3,4,3,4,2,0,6,7,21,25,35,37,66,53,56,69,71,84,99,78,88,53,71,60,60,65,76,50,58,51,52,44,25,37,43,28,32,28,30,26,20,17,18,22,19,13,20,10,21,8,14,11,12,7,6,11,7,2,8,7,4,2,4,2,0,0,1,3,1,3,1,3,7,8,12,16,18,26,22,25,23,26,24,26,17,23,18,22,14,18,20,14,16,12,15,16,12,7,11,8,10,9,13,4,9,10,12,9,8,3,9,8,8,6,3,7,6,3,6,6,3,5,5,1,1,2,3,4,3,3,2,0,4,7,20,22,28,28,55,52,50,64,66,76,89,76,81,52,66,54,57,58,74,46,55,50,48,41,21,34,41,25,32,26,29,25,19,15,18,20,19,13,20,10,20,7,13,11,12,7,6,11,7,2,7,7,3,2,3,2,0,0,1,3,1,3,
3,941,824,798,729,716,714,646,596,585,535,448,450,367,365,369,339,329,274,272,283,239,225,188,192,174,219,159,150,154,149,151,122,147,174,93,90,101,67,79,86,78,92,87,68,74,67,73,58,56,62,39,55,52,57,45,32,25,25,26,19,22,23,88,872,885,849,823,832,761,767,724,641,664,612,616,559,515,490,464,428,385,400,379,316,295,297,305,262,214,226,217,219,193,215,192,193,153,153,133,133,115,133,100,124,93,109,101,87,93,64,71,65,79,73,70,60,63,53,41,35,35,42,29,20,17,120,22,20,27,37,32,64,51,50,57,63,51,56,48,46,46,42,48,51,47,50,37,44,24,34,27,35,17,23,18,32,23,18,26,28,18,17,19,13,9,23,15,7,9,10,9,7,14,10,7,9,11,6,4,7,3,4,4,3,5,2,3,2,10,57,68,92,86,120,119,140,125,119,154,138,144,162,145,123,119,124,109,112,94,98,85,92,109,72,71,50,68,68,52,65,51,55,45,41,33,38,29,30,20,30,13,27,16,17,20,10,11,7,12,10,7,8,15,8,3,4,3,2,3,4,1,7,9,12,15,27,30,48,42,41,47,59,47,52,43,38,45,39,45,44,46,47,33,38,21,29,26,32,16,20,17,30,20,17,25,27,17,16,16,13,8,22,14,6,9,10,9,7,13,10,6,9,10,5,4,7,3,4,4,3,5,2,3,2,9,26,53,72,69,99,106,126,119,106,139,124,130,149,135,116,110,119,106,104,92,94,79,86,103,66,69,47,64,66,49,62,48,53,44,40,33,38,29,30,20,30,12,27,16,17,20,10,11,7,11,10,7,8,15,7,3,4,3,2,2,4,1,7,4,5,8,14,21,36,33,31,35,50,38,46,36,24,33,32,39,36,34,37,23,34,18,23,21,28,12,16,14,23,17,15,21,25,16,10,14,9,7,14,9,3,9,10,6,6,12,9,6,8,10,5,4,5,2,3,4,2,4,2,3,2,7,21,44,52,55,68,63,94,94,73,110,101,97,125,113,97,98,106,86,87,79,89,70,71,86,60,56,41,56,59,46,56,44,47,41,35,30,32,27,27,17,27,11,22,11,13,18,9,8,7,10,9,4,7,12,6,3,2,3,2,2,4,1,7,3,5,7,14,18,29,31,30,32,43,36,41,32,22,29,32,36,35,30,35,23,32,17,22,20,26,10,16,13,22,14,14,18,24,14,9,14,7,7,13,9,2,8,10,6,6,11,9,5,7,10,5,4,5,2,3,4,2,4,1,3,2,5,19,39,45,47,61,57,88,85,64,99,94,90,114,102,93,90,97,77,80,73,85,68,66,82,55,52,38,53,54,40,56,42,44,38,33,28,32,26,27,16,26,11,21,10,12,17,8,8,7,10,9,4,6,11,5,3,2,3,2,2,4,1,7,
