Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,2178,0,1098,0,1080,0,0,0,0,0,0,0,0,0,0.0592,0,0,0,25,0.5188,0.4224,0.0588,0.0000,0.0000,0.0000,0,0,0,0,0,0,206,180,192,206,145,88,81,205,176,190,206,133,91,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,2316,0,1161,0,1155,0,0,0,0,0,0,0,0,0,0.0586,0,0,0,56,0.5121,0.4283,0.0596,0.0000,0.0000,0.0000,0,0,0,0,0,0,233,189,203,212,144,94,86,259,179,197,207,135,92,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,2436,0,1220,0,1216,0,0,0,0,0,0,0,0,0,0.0607,0,0,0,94,0.5131,0.4273,0.0595,0.0000,0.0000,0.0000,0,0,0,0,0,0,283,183,209,212,153,94,86,297,180,192,219,142,99,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,2563,0,1277,0,1286,0,0,0,0,0,0,0,0,0,0.0603,0,0,0,136,0.5131,0.4276,0.0593,0.0000,0.0000,0.0000,0,0,0,0,0,0,324,187,220,211,151,103,81,341,185,203,224,149,96,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,2692,0,1336,0,1356,0,0,0,0,0,0,0,0,0,0.0606,0,0,0,180,0.5137,0.4276,0.0587,0.0000,0.0000,0.0000,0,0,0,0,0,0,327,236,219,224,149,102,79,339,243,206,224,160,100,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,2826,0,1400,0,1426,0,0,0,0,0,0,0,0,0,0.0586,0,0,0,219,0.5131,0.4278,0.0591,0.0000,0.0000,0.0000,0,0,0,0,0,0,328,275,233,224,152,104,84,342,286,212,238,161,99,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,2944,0,1464,0,1480,0,0,0,0,0,0,0,0,0,0.0574,0,0,0,260,0.5153,0.4256,0.0591,0.0000,0.0000,0.0000,0,0,0,0,0,0,330,306,242,235,161,106,84,335,324,228,238,160,108,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,3071,0,1536,0,1535,0,0,0,0,0,0,0,0,0,0.0579,0,0,0,293,0.5129,0.4262,0.0609,0.0000,0.0000,0.0000,0,0,0,0,0,0,334,356,244,241,164,112,85,320,374,236,237,171,105,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,3201,0,1591,0,1610,0,0,0,0,0,0,0,0,0,0.0559,0,0,0,332,0.5152,0.4239,0.0609,0.0000,0.0000,0.0000,0,0,0,0,0,0,324,398,246,251,175,110,87,329,412,249,237,182,110,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,3331,0,1651,0,1680,0,0,0,0,0,0,0,0,0,0.0545,0,0,0,379,0.5161,0.4212,0.0627,0.0000,0.0000,0.0000,0,0,0,0,0,0,326,394,288,266,176,115,86,330,414,296,258,174,117,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
