CHIPSROUND,NtotM[18],NtotM[19],NtotM[20],NtotM[21],NtotM[22],NtotM[23],NtotM[24],NtotM[25],NtotM[26],NtotM[27],NtotM[28],NtotM[29],NtotM[30],NtotM[31],NtotM[32],NtotM[33],NtotM[34],NtotM[35],NtotM[36],NtotM[37],NtotM[38],NtotM[39],NtotM[40],NtotM[41],NtotM[42],NtotM[43],NtotM[44],NtotM[45],NtotM[46],NtotM[47],NtotM[48],NtotM[49],NtotM[50],NtotM[51],NtotM[52],NtotM[53],NtotM[54],NtotM[55],NtotM[56],NtotM[57],NtotM[58],NtotM[59],NtotM[60],NtotM[61],NtotM[62],NtotM[63],NtotM[64],NtotM[65],NtotM[66],NtotM[67],NtotM[68],NtotM[69],NtotM[70],NtotM[71],NtotM[72],NtotM[73],NtotM[74],NtotM[75],NtotM[76],NtotM[77],NtotM[78],NtotM[79],NtotM[80],NtotF[18],NtotF[19],NtotF[20],NtotF[21],NtotF[22],NtotF[23],NtotF[24],NtotF[25],NtotF[26],NtotF[27],NtotF[28],NtotF[29],NtotF[30],NtotF[31],NtotF[32],NtotF[33],NtotF[34],NtotF[35],NtotF[36],NtotF[37],NtotF[38],NtotF[39],NtotF[40],NtotF[41],NtotF[42],NtotF[43],NtotF[44],NtotF[45],NtotF[46],NtotF[47],NtotF[48],NtotF[49],NtotF[50],NtotF[51],NtotF[52],NtotF[53],NtotF[54],NtotF[55],NtotF[56],NtotF[57],NtotF[58],NtotF[59],NtotF[60],NtotF[61],NtotF[62],NtotF[63],NtotF[64],NtotF[65],NtotF[66],NtotF[67],NtotF[68],NtotF[69],NtotF[70],NtotF[71],NtotF[72],NtotF[73],NtotF[74],NtotF[75],NtotF[76],NtotF[77],NtotF[78],NtotF[79],NtotF[80],NposM[18],NposM[19],NposM[20],NposM[21],NposM[22],NposM[23],NposM[24],NposM[25],NposM[26],NposM[27],NposM[28],NposM[29],NposM[30],NposM[31],NposM[32],NposM[33],NposM[34],NposM[35],NposM[36],NposM[37],NposM[38],NposM[39],NposM[40],NposM[41],NposM[42],NposM[43],NposM[44],NposM[45],NposM[46],NposM[47],NposM[48],NposM[49],NposM[50],NposM[51],NposM[52],NposM[53],NposM[54],NposM[55],NposM[56],NposM[57],NposM[58],NposM[59],NposM[60],NposM[61],NposM[62],NposM[63],NposM[64],NposM[65],NposM[66],NposM[67],NposM[68],NposM[69],NposM[70],NposM[71],NposM[72],NposM[73],NposM[74],NposM[75],NposM[76],NposM[77],NposM[78],NposM[79],NposM[80],NposF[18],NposF[19],NposF[20],NposF[21],NposF[22],NposF[23],NposF[24],NposF[25],NposF[26],NposF[27],NposF[28],NposF[29],NposF[30],NposF[31],NposF[32],NposF[33],NposF[34],NposF[35],NposF[36],NposF[37],NposF[38],NposF[39],NposF[40],NposF[41],NposF[42],NposF[43],NposF[44],NposF[45],NposF[46],NposF[47],NposF[48],NposF[49],NposF[50],NposF[51],NposF[52],NposF[53],NposF[54],NposF[55],NposF[56],NposF[57],NposF[58],NposF[59],NposF[60],NposF[61],NposF[62],NposF[63],NposF[64],NposF[65],NposF[66],NposF[67],NposF[68],NposF[69],NposF[70],NposF[71],NposF[72],NposF[73],NposF[74],NposF[75],NposF[76],NposF[77],NposF[78],NposF[79],NposF[80],NawareM[18],NawareM[19],NawareM[20],NawareM[21],NawareM[22],NawareM[23],NawareM[24],NawareM[25],NawareM[26],NawareM[27],NawareM[28],NawareM[29],NawareM[30],NawareM[31],NawareM[32],NawareM[33],NawareM[34],NawareM[35],NawareM[36],NawareM[37],NawareM[38],NawareM[39],NawareM[40],NawareM[41],NawareM[42],NawareM[43],NawareM[44],NawareM[45],NawareM[46],NawareM[47],NawareM[48],NawareM[49],NawareM[50],NawareM[51],NawareM[52],NawareM[53],NawareM[54],NawareM[55],NawareM[56],NawareM[57],NawareM[58],NawareM[59],NawareM[60],NawareM[61],NawareM[62],NawareM[63],NawareM[64],NawareM[65],NawareM[66],NawareM[67],NawareM[68],NawareM[69],NawareM[70],NawareM[71],NawareM[72],NawareM[73],NawareM[74],NawareM[75],NawareM[76],NawareM[77],NawareM[78],NawareM[79],NawareM[80],NawareF[18],NawareF[19],NawareF[20],NawareF[21],NawareF[22],NawareF[23],NawareF[24],NawareF[25],NawareF[26],NawareF[27],NawareF[28],NawareF[29],NawareF[30],NawareF[31],NawareF[32],NawareF[33],NawareF[34],NawareF[35],NawareF[36],NawareF[37],NawareF[38],NawareF[39],NawareF[40],NawareF[41],NawareF[42],NawareF[43],NawareF[44],NawareF[45],NawareF[46],NawareF[47],NawareF[48],NawareF[49],NawareF[50],NawareF[51],NawareF[52],NawareF[53],NawareF[54],NawareF[55],NawareF[56],NawareF[57],NawareF[58],NawareF[59],NawareF[60],NawareF[61],NawareF[62],NawareF[63],NawareF[64],NawareF[65],NawareF[66],NawareF[67],NawareF[68],NawareF[69],NawareF[70],NawareF[71],NawareF[72],NawareF[73],NawareF[74],NawareF[75],NawareF[76],NawareF[77],NawareF[78],NawareF[79],NawareF[80],NonARTM[18],NonARTM[19],NonARTM[20],NonARTM[21],NonARTM[22],NonARTM[23],NonARTM[24],NonARTM[25],NonARTM[26],NonARTM[27],NonARTM[28],NonARTM[29],NonARTM[30],NonARTM[31],NonARTM[32],NonARTM[33],NonARTM[34],NonARTM[35],NonARTM[36],NonARTM[37],NonARTM[38],NonARTM[39],NonARTM[40],NonARTM[41],NonARTM[42],NonARTM[43],NonARTM[44],NonARTM[45],NonARTM[46],NonARTM[47],NonARTM[48],NonARTM[49],NonARTM[50],NonARTM[51],NonARTM[52],NonARTM[53],NonARTM[54],NonARTM[55],NonARTM[56],NonARTM[57],NonARTM[58],NonARTM[59],NonARTM[60],NonARTM[61],NonARTM[62],NonARTM[63],NonARTM[64],NonARTM[65],NonARTM[66],NonARTM[67],NonARTM[68],NonARTM[69],NonARTM[70],NonARTM[71],NonARTM[72],NonARTM[73],NonARTM[74],NonARTM[75],NonARTM[76],NonARTM[77],NonARTM[78],NonARTM[79],NonARTM[80],NonARTF[18],NonARTF[19],NonARTF[20],NonARTF[21],NonARTF[22],NonARTF[23],NonARTF[24],NonARTF[25],NonARTF[26],NonARTF[27],NonARTF[28],NonARTF[29],NonARTF[30],NonARTF[31],NonARTF[32],NonARTF[33],NonARTF[34],NonARTF[35],NonARTF[36],NonARTF[37],NonARTF[38],NonARTF[39],NonARTF[40],NonARTF[41],NonARTF[42],NonARTF[43],NonARTF[44],NonARTF[45],NonARTF[46],NonARTF[47],NonARTF[48],NonARTF[49],NonARTF[50],NonARTF[51],NonARTF[52],NonARTF[53],NonARTF[54],NonARTF[55],NonARTF[56],NonARTF[57],NonARTF[58],NonARTF[59],NonARTF[60],NonARTF[61],NonARTF[62],NonARTF[63],NonARTF[64],NonARTF[65],NonARTF[66],NonARTF[67],NonARTF[68],NonARTF[69],NonARTF[70],NonARTF[71],NonARTF[72],NonARTF[73],NonARTF[74],NonARTF[75],NonARTF[76],NonARTF[77],NonARTF[78],NonARTF[79],NonARTF[80],NvsM[18],NvsM[19],NvsM[20],NvsM[21],NvsM[22],NvsM[23],NvsM[24],NvsM[25],NvsM[26],NvsM[27],NvsM[28],NvsM[29],NvsM[30],NvsM[31],NvsM[32],NvsM[33],NvsM[34],NvsM[35],NvsM[36],NvsM[37],NvsM[38],NvsM[39],NvsM[40],NvsM[41],NvsM[42],NvsM[43],NvsM[44],NvsM[45],NvsM[46],NvsM[47],NvsM[48],NvsM[49],NvsM[50],NvsM[51],NvsM[52],NvsM[53],NvsM[54],NvsM[55],NvsM[56],NvsM[57],NvsM[58],NvsM[59],NvsM[60],NvsM[61],NvsM[62],NvsM[63],NvsM[64],NvsM[65],NvsM[66],NvsM[67],NvsM[68],NvsM[69],NvsM[70],NvsM[71],NvsM[72],NvsM[73],NvsM[74],NvsM[75],NvsM[76],NvsM[77],NvsM[78],NvsM[79],NvsM[80],NvsF[18],NvsF[19],NvsF[20],NvsF[21],NvsF[22],NvsF[23],NvsF[24],NvsF[25],NvsF[26],NvsF[27],NvsF[28],NvsF[29],NvsF[30],NvsF[31],NvsF[32],NvsF[33],NvsF[34],NvsF[35],NvsF[36],NvsF[37],NvsF[38],NvsF[39],NvsF[40],NvsF[41],NvsF[42],NvsF[43],NvsF[44],NvsF[45],NvsF[46],NvsF[47],NvsF[48],NvsF[49],NvsF[50],NvsF[51],NvsF[52],NvsF[53],NvsF[54],NvsF[55],NvsF[56],NvsF[57],NvsF[58],NvsF[59],NvsF[60],NvsF[61],NvsF[62],NvsF[63],NvsF[64],NvsF[65],NvsF[66],NvsF[67],NvsF[68],NvsF[69],NvsF[70],NvsF[71],NvsF[72],NvsF[73],NvsF[74],NvsF[75],NvsF[76],NvsF[77],NvsF[78],NvsF[79],NvsF[80],
1,715,659,579,591,554,518,442,448,398,385,334,287,279,284,211,244,260,175,194,188,147,146,109,139,131,103,146,99,94,82,73,71,79,83,58,64,52,49,55,53,52,42,32,43,33,43,35,22,37,33,45,30,19,43,16,27,27,10,18,18,16,17,43,755,692,702,661,658,609,566,558,507,532,457,458,385,423,352,350,350,293,289,311,269,248,229,249,151,212,181,150,157,133,121,112,94,136,91,124,67,92,79,68,69,66,71,75,65,60,65,43,55,36,41,43,27,41,32,15,24,23,18,21,19,12,55,3,7,9,16,24,32,33,44,50,47,43,44,48,57,51,34,51,46,40,42,33,43,31,35,39,27,45,24,21,16,21,20,22,23,21,15,9,8,10,12,16,8,6,5,7,6,8,1,8,6,3,5,0,6,1,3,5,1,1,3,2,1,5,22,39,57,81,83,93,91,120,122,132,132,128,98,139,102,109,99,86,96,91,78,73,91,87,45,62,59,40,46,37,40,30,35,24,16,31,19,24,10,8,16,14,4,10,10,7,12,7,5,1,4,5,4,4,5,2,1,0,2,2,1,0,4,0,1,1,2,4,13,14,14,15,19,22,18,22,30,28,20,33,27,23,29,21,27,17,24,22,21,35,14,12,13,12,13,13,18,12,7,7,6,4,9,14,6,5,2,6,5,6,1,7,6,2,4,0,6,1,3,3,1,1,3,2,1,4,5,8,17,21,24,40,32,52,55,73,58,75,59,84,63,70,69,62,65,55,54,49,69,66,38,50,45,29,35,30,29,24,27,18,13,26,13,21,7,7,11,12,3,8,10,6,11,3,4,1,4,5,4,3,5,1,1,0,2,2,1,0,4,0,1,1,1,2,5,4,7,5,10,13,11,15,18,18,7,21,17,14,21,13,20,7,15,14,15,20,13,6,9,6,12,8,12,10,6,7,5,3,6,9,2,4,0,6,5,3,1,5,4,1,1,0,4,1,2,1,0,0,3,1,0,2,1,4,4,7,10,19,14,22,25,36,35,46,31,59,47,45,45,43,43,38,33,40,50,47,26,30,30,20,28,25,19,20,22,12,7,17,8,16,4,3,7,8,2,6,8,4,9,2,3,1,3,5,2,3,3,0,0,0,1,0,0,0,4,0,1,0,1,1,5,4,6,4,10,10,8,12,16,18,7,18,14,12,19,11,20,7,14,12,14,19,12,4,8,6,11,8,12,10,6,7,5,2,6,9,2,4,0,5,5,3,1,4,4,1,1,0,4,1,2,1,0,0,2,1,0,2,1,2,4,7,8,18,12,21,22,31,32,41,30,51,42,38,40,41,43,37,31,39,49,45,25,30,29,19,27,23,18,20,21,11,7,17,8,16,4,3,7,8,2,6,7,4,9,2,3,1,3,3,2,3,3,0,0,0,1,0,0,0,4,
2,741,664,570,593,501,515,466,455,395,426,337,320,254,245,255,250,227,204,185,190,189,161,124,134,122,129,111,96,114,102,79,85,62,51,77,54,54,62,27,55,49,42,37,45,30,37,31,41,31,33,28,36,38,29,26,23,21,24,19,16,16,10,54,753,721,688,667,640,647,623,585,550,540,495,510,419,436,356,360,316,301,305,293,250,268,227,209,217,199,157,179,162,133,135,112,100,98,94,105,76,86,77,77,81,63,56,54,59,59,57,52,50,43,41,41,35,44,30,26,28,13,20,17,31,11,72,5,4,4,14,8,16,33,37,33,40,46,41,42,43,35,52,51,44,38,41,47,36,38,41,27,26,24,24,33,27,15,25,15,17,14,14,20,14,1,15,7,7,14,9,4,4,12,4,4,0,6,1,2,8,3,3,3,1,3,0,0,0,2,21,36,47,63,64,86,103,103,107,135,131,129,133,129,98,104,97,90,91,88,90,86,62,66,90,75,37,55,52,30,44,29,29,24,24,21,18,21,19,17,16,6,14,11,4,9,3,6,8,6,6,5,4,5,3,2,3,2,1,1,2,1,5,3,1,0,5,5,5,20,23,19,28,32,29,32,29,24,36,34,28,32,30,34,24,34,34,22,22,21,20,23,21,13,19,14,13,13,13,17,13,1,12,5,7,12,8,4,4,8,3,4,0,3,1,2,6,2,3,3,1,3,0,0,0,2,3,8,22,29,46,61,66,74,80,103,103,108,101,108,81,95,76,80,85,71,85,77,52,60,81,70,34,43,48,26,39,26,28,23,24,20,16,19,16,16,15,6,13,11,4,9,3,6,8,6,6,5,4,5,3,2,3,2,0,1,2,1,5,2,0,0,4,1,3,8,10,9,15,17,14,17,14,18,25,17,19,21,18,25,17,22,24,13,13,16,14,18,13,10,15,9,11,9,11,13,13,1,8,3,2,11,5,2,3,7,2,2,0,2,1,1,5,1,3,1,1,1,0,0,0,2,2,4,11,16,15,25,31,43,48,60,69,67,67,75,59,55,57,63,66,60,67,57,31,39,62,58,26,32,39,18,33,20,20,20,20,16,13,15,13,13,11,3,5,7,4,7,2,4,8,6,5,4,3,5,2,2,3,1,0,1,2,1,4,2,0,0,3,0,3,6,10,8,14,16,12,14,14,17,23,15,16,19,17,24,16,20,22,13,11,14,13,18,11,9,15,9,10,9,11,13,13,1,8,3,2,11,4,2,2,7,2,2,0,2,1,1,5,1,2,1,1,1,0,0,0,1,2,4,8,15,14,22,28,37,41,56,68,60,60,66,55,51,52,56,62,59,61,48,29,34,56,56,25,31,38,18,29,19,18,20,20,16,11,14,11,12,11,3,5,7,4,7,2,4,6,6,5,4,3,5,2,2,2,1,0,1,2,1,4,
3,873,796,724,665,705,592,605,573,575,477,420,423,358,334,335,319,293,257,268,284,229,219,204,165,165,173,133,133,127,130,132,109,112,114,85,79,76,52,68,53,62,69,58,42,62,50,46,40,49,45,33,48,37,55,32,29,20,24,26,21,14,17,79,862,815,814,799,734,717,695,725,633,587,563,555,545,480,490,427,420,354,367,337,310,297,298,303,242,235,234,166,227,191,181,166,130,113,118,118,125,78,113,83,100,92,71,71,64,78,57,59,52,63,49,57,50,42,48,32,34,32,20,28,25,23,113,3,6,9,11,17,14,26,46,62,44,41,55,50,52,53,67,54,61,60,54,51,54,45,43,51,44,28,27,35,41,23,26,24,27,24,12,18,19,15,8,18,13,11,10,11,5,9,8,9,8,0,8,3,5,5,1,2,2,3,4,0,2,4,20,39,39,55,77,86,101,121,121,125,144,166,152,155,146,121,129,107,117,98,99,99,108,89,72,94,85,47,64,61,52,48,37,34,29,30,22,18,28,16,21,14,9,18,13,8,10,5,5,9,7,5,4,4,0,3,2,2,2,1,1,3,6,1,3,5,4,11,8,17,35,42,34,36,44,41,45,38,54,48,48,51,43,45,47,37,41,42,38,25,25,32,37,22,24,22,24,19,12,14,16,14,7,16,13,11,10,9,5,6,7,9,7,0,8,3,5,4,1,2,2,3,4,0,2,3,5,16,28,38,60,63,83,99,99,103,122,149,137,139,136,111,124,97,110,93,89,94,100,82,70,84,82,46,61,60,49,46,36,34,28,29,21,18,27,16,20,14,9,16,13,7,10,5,5,9,7,5,4,3,0,3,2,2,2,1,1,3,6,1,2,2,3,8,3,13,19,31,19,25,36,26,32,24,36,37,35,45,33,30,35,30,37,34,28,19,17,25,32,17,21,20,18,16,10,11,15,14,7,12,9,11,9,7,3,6,4,8,4,0,6,3,5,2,1,1,1,2,3,0,2,2,4,11,20,28,42,36,53,65,72,75,96,112,98,111,116,89,95,81,92,80,72,79,81,66,62,68,73,35,50,55,37,38,29,25,26,26,19,16,22,13,18,12,8,13,13,7,10,5,4,7,6,5,3,3,0,3,2,2,0,1,1,3,5,1,2,2,3,8,3,12,17,30,18,24,34,24,29,23,35,33,34,42,31,29,33,26,35,32,25,15,17,23,29,14,19,20,18,14,10,11,15,13,6,10,9,9,8,7,2,3,4,7,4,0,6,3,4,2,1,1,1,2,3,0,2,1,4,6,17,24,39,32,45,57,67,67,79,104,87,100,107,83,89,72,86,73,70,72,73,60,60,62,69,35,45,51,34,35,24,25,26,24,18,16,19,12,17,12,8,12,13,7,10,5,4,7,6,5,3,3,0,1,2,2,0,1,1,3,5,
