Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,2160,0,1099,0,1061,0,0,0,0,0,0,0,0,0,0.0528,0,0,0,16,0.4810,0.3380,0.1810,0.0000,0.0000,0.0000,0,0,0,0,0,0,201,169,188,225,143,91,82,188,181,171,209,141,91,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,2286,0,1167,0,1119,0,0,0,0,0,0,0,0,0,0.0514,0,0,0,53,0.4856,0.3325,0.1820,0.0000,0.0000,0.0000,0,0,0,0,0,0,246,178,185,236,145,99,78,222,190,172,212,142,97,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,2407,0,1238,0,1169,0,0,0,0,0,0,0,0,0,0.0525,0,0,0,77,0.4848,0.3328,0.1824,0.0000,0.0000,0.0000,0,0,0,0,0,0,288,188,196,238,149,103,76,235,203,179,214,157,93,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,2527,0,1296,0,1231,0,0,0,0,0,0,0,0,0,0.0532,0,0,0,115,0.4812,0.3368,0.1820,0.0000,0.0000,0.0000,0,0,0,0,0,0,317,183,218,235,158,106,79,292,198,186,213,163,100,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,2664,0,1365,0,1299,0,0,0,0,0,0,0,0,0,0.0557,0,0,0,154,0.4779,0.3375,0.1847,0.0000,0.0000,0.0000,0,0,0,0,0,0,324,236,212,235,171,104,83,311,217,198,220,172,99,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,2801,0,1441,0,1360,0,0,0,0,0,0,0,0,0,0.0583,0,0,0,190,0.4759,0.3385,0.1856,0.0000,0.0000,0.0000,0,0,0,0,0,0,331,279,228,238,175,105,85,315,254,212,225,169,104,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,2933,0,1509,0,1424,0,0,0,0,0,0,0,0,0,0.0590,0,0,0,222,0.4770,0.3379,0.1851,0.0000,0.0000,0.0000,0,0,0,0,0,0,334,323,236,245,179,101,91,333,270,229,226,180,106,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,3055,0,1567,0,1488,0,0,0,0,0,0,0,0,0,0.0613,0,0,0,261,0.4786,0.3378,0.1836,0.0000,0.0000,0.0000,0,0,0,0,0,0,347,349,239,256,183,106,87,321,314,253,222,175,117,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,3148,0,1613,0,1535,0,0,0,0,0,0,0,0,0,0.0601,0,0,0,308,0.4790,0.3377,0.1833,0.0000,0.0000,0.0000,0,0,0,0,0,0,337,387,245,260,185,115,84,296,372,254,228,179,119,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,3265,0,1672,0,1593,0,0,0,0,0,0,0,0,0,0.0598,0,0,0,348,0.4799,0.3378,0.1822,0.0000,0.0000,0.0000,0,0,0,0,0,0,325,404,288,263,182,122,88,291,382,284,244,183,121,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
