Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,2180,0,1091,0,1089,0,0,0,0,0,0,0,0,0,0.0577,0,0,0,26,0.4766,0.4170,0.1064,0.0000,0.0000,0.0000,0,0,0,0,0,0,195,178,197,201,144,95,81,217,166,185,220,146,73,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,2303,0,1153,0,1150,0,0,0,0,0,0,0,0,0,0.0607,0,0,0,63,0.4789,0.4155,0.1055,0.0000,0.0000,0.0000,0,0,0,0,0,0,238,180,205,200,149,96,85,254,177,184,226,149,77,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,2436,0,1220,0,1216,0,0,0,0,0,0,0,0,0,0.0590,0,0,0,105,0.4778,0.4171,0.1051,0.0000,0.0000,0.0000,0,0,0,0,0,0,287,187,207,209,152,93,85,291,189,189,226,159,80,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,2549,0,1277,0,1272,0,0,0,0,0,0,0,0,0,0.0634,0,0,0,148,0.4723,0.4186,0.1091,0.0000,0.0000,0.0000,0,0,0,0,0,0,324,196,208,212,154,97,86,331,182,204,220,158,89,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,2682,0,1346,0,1336,0,0,0,0,0,0,0,0,0,0.0632,0,0,0,191,0.4739,0.4202,0.1059,0.0000,0.0000,0.0000,0,0,0,0,0,0,346,227,215,221,159,95,83,313,247,200,235,160,92,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,2831,0,1427,0,1404,0,0,0,0,0,0,0,0,0,0.0624,0,0,0,230,0.4779,0.4165,0.1056,0.0000,0.0000,0.0000,0,0,0,0,0,0,359,267,224,230,161,97,89,326,272,221,242,162,91,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,2974,0,1477,0,1497,0,0,0,0,0,0,0,0,0,0.0664,0,0,0,266,0.4748,0.4196,0.1056,0.0000,0.0000,0.0000,0,0,0,0,0,0,345,313,225,235,167,107,85,349,320,228,241,159,108,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,3117,0,1547,0,1570,0,0,0,0,0,0,0,0,0,0.0659,0,0,0,300,0.4755,0.4151,0.1094,0.0000,0.0000,0.0000,0,0,0,0,0,0,356,350,238,236,171,111,85,362,346,233,253,173,109,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,3238,0,1611,0,1627,0,0,0,0,0,0,0,0,0,0.0627,0,0,0,338,0.4750,0.4151,0.1099,0.0000,0.0000,0.0000,0,0,0,0,0,0,347,402,245,244,174,112,87,348,397,236,257,177,115,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,3351,0,1664,0,1687,0,0,0,0,0,0,0,0,0,0.0613,0,0,0,391,0.4796,0.4121,0.1083,0.0000,0.0000,0.0000,0,0,0,0,0,0,327,432,280,243,180,118,84,342,386,297,265,184,117,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
