CHIPSROUND,NtotM[18],NtotM[19],NtotM[20],NtotM[21],NtotM[22],NtotM[23],NtotM[24],NtotM[25],NtotM[26],NtotM[27],NtotM[28],NtotM[29],NtotM[30],NtotM[31],NtotM[32],NtotM[33],NtotM[34],NtotM[35],NtotM[36],NtotM[37],NtotM[38],NtotM[39],NtotM[40],NtotM[41],NtotM[42],NtotM[43],NtotM[44],NtotM[45],NtotM[46],NtotM[47],NtotM[48],NtotM[49],NtotM[50],NtotM[51],NtotM[52],NtotM[53],NtotM[54],NtotM[55],NtotM[56],NtotM[57],NtotM[58],NtotM[59],NtotM[60],NtotM[61],NtotM[62],NtotM[63],NtotM[64],NtotM[65],NtotM[66],NtotM[67],NtotM[68],NtotM[69],NtotM[70],NtotM[71],NtotM[72],NtotM[73],NtotM[74],NtotM[75],NtotM[76],NtotM[77],NtotM[78],NtotM[79],NtotM[80],NtotF[18],NtotF[19],NtotF[20],NtotF[21],NtotF[22],NtotF[23],NtotF[24],NtotF[25],NtotF[26],NtotF[27],NtotF[28],NtotF[29],NtotF[30],NtotF[31],NtotF[32],NtotF[33],NtotF[34],NtotF[35],NtotF[36],NtotF[37],NtotF[38],NtotF[39],NtotF[40],NtotF[41],NtotF[42],NtotF[43],NtotF[44],NtotF[45],NtotF[46],NtotF[47],NtotF[48],NtotF[49],NtotF[50],NtotF[51],NtotF[52],NtotF[53],NtotF[54],NtotF[55],NtotF[56],NtotF[57],NtotF[58],NtotF[59],NtotF[60],NtotF[61],NtotF[62],NtotF[63],NtotF[64],NtotF[65],NtotF[66],NtotF[67],NtotF[68],NtotF[69],NtotF[70],NtotF[71],NtotF[72],NtotF[73],NtotF[74],NtotF[75],NtotF[76],NtotF[77],NtotF[78],NtotF[79],NtotF[80],NposM[18],NposM[19],NposM[20],NposM[21],NposM[22],NposM[23],NposM[24],NposM[25],NposM[26],NposM[27],NposM[28],NposM[29],NposM[30],NposM[31],NposM[32],NposM[33],NposM[34],NposM[35],NposM[36],NposM[37],NposM[38],NposM[39],NposM[40],NposM[41],NposM[42],NposM[43],NposM[44],NposM[45],NposM[46],NposM[47],NposM[48],NposM[49],NposM[50],NposM[51],NposM[52],NposM[53],NposM[54],NposM[55],NposM[56],NposM[57],NposM[58],NposM[59],NposM[60],NposM[61],NposM[62],NposM[63],NposM[64],NposM[65],NposM[66],NposM[67],NposM[68],NposM[69],NposM[70],NposM[71],NposM[72],NposM[73],NposM[74],NposM[75],NposM[76],NposM[77],NposM[78],NposM[79],NposM[80],NposF[18],NposF[19],NposF[20],NposF[21],NposF[22],NposF[23],NposF[24],NposF[25],NposF[26],NposF[27],NposF[28],NposF[29],NposF[30],NposF[31],NposF[32],NposF[33],NposF[34],NposF[35],NposF[36],NposF[37],NposF[38],NposF[39],NposF[40],NposF[41],NposF[42],NposF[43],NposF[44],NposF[45],NposF[46],NposF[47],NposF[48],NposF[49],NposF[50],NposF[51],NposF[52],NposF[53],NposF[54],NposF[55],NposF[56],NposF[57],NposF[58],NposF[59],NposF[60],NposF[61],NposF[62],NposF[63],NposF[64],NposF[65],NposF[66],NposF[67],NposF[68],NposF[69],NposF[70],NposF[71],NposF[72],NposF[73],NposF[74],NposF[75],NposF[76],NposF[77],NposF[78],NposF[79],NposF[80],NawareM[18],NawareM[19],NawareM[20],NawareM[21],NawareM[22],NawareM[23],NawareM[24],NawareM[25],NawareM[26],NawareM[27],NawareM[28],NawareM[29],NawareM[30],NawareM[31],NawareM[32],NawareM[33],NawareM[34],NawareM[35],NawareM[36],NawareM[37],NawareM[38],NawareM[39],NawareM[40],NawareM[41],NawareM[42],NawareM[43],NawareM[44],NawareM[45],NawareM[46],NawareM[47],NawareM[48],NawareM[49],NawareM[50],NawareM[51],NawareM[52],NawareM[53],NawareM[54],NawareM[55],NawareM[56],NawareM[57],NawareM[58],NawareM[59],NawareM[60],NawareM[61],NawareM[62],NawareM[63],NawareM[64],NawareM[65],NawareM[66],NawareM[67],NawareM[68],NawareM[69],NawareM[70],NawareM[71],NawareM[72],NawareM[73],NawareM[74],NawareM[75],NawareM[76],NawareM[77],NawareM[78],NawareM[79],NawareM[80],NawareF[18],NawareF[19],NawareF[20],NawareF[21],NawareF[22],NawareF[23],NawareF[24],NawareF[25],NawareF[26],NawareF[27],NawareF[28],NawareF[29],NawareF[30],NawareF[31],NawareF[32],NawareF[33],NawareF[34],NawareF[35],NawareF[36],NawareF[37],NawareF[38],NawareF[39],NawareF[40],NawareF[41],NawareF[42],NawareF[43],NawareF[44],NawareF[45],NawareF[46],NawareF[47],NawareF[48],NawareF[49],NawareF[50],NawareF[51],NawareF[52],NawareF[53],NawareF[54],NawareF[55],NawareF[56],NawareF[57],NawareF[58],NawareF[59],NawareF[60],NawareF[61],NawareF[62],NawareF[63],NawareF[64],NawareF[65],NawareF[66],NawareF[67],NawareF[68],NawareF[69],NawareF[70],NawareF[71],NawareF[72],NawareF[73],NawareF[74],NawareF[75],NawareF[76],NawareF[77],NawareF[78],NawareF[79],NawareF[80],NonARTM[18],NonARTM[19],NonARTM[20],NonARTM[21],NonARTM[22],NonARTM[23],NonARTM[24],NonARTM[25],NonARTM[26],NonARTM[27],NonARTM[28],NonARTM[29],NonARTM[30],NonARTM[31],NonARTM[32],NonARTM[33],NonARTM[34],NonARTM[35],NonARTM[36],NonARTM[37],NonARTM[38],NonARTM[39],NonARTM[40],NonARTM[41],NonARTM[42],NonARTM[43],NonARTM[44],NonARTM[45],NonARTM[46],NonARTM[47],NonARTM[48],NonARTM[49],NonARTM[50],NonARTM[51],NonARTM[52],NonARTM[53],NonARTM[54],NonARTM[55],NonARTM[56],NonARTM[57],NonARTM[58],NonARTM[59],NonARTM[60],NonARTM[61],NonARTM[62],NonARTM[63],NonARTM[64],NonARTM[65],NonARTM[66],NonARTM[67],NonARTM[68],NonARTM[69],NonARTM[70],NonARTM[71],NonARTM[72],NonARTM[73],NonARTM[74],NonARTM[75],NonARTM[76],NonARTM[77],NonARTM[78],NonARTM[79],NonARTM[80],NonARTF[18],NonARTF[19],NonARTF[20],NonARTF[21],NonARTF[22],NonARTF[23],NonARTF[24],NonARTF[25],NonARTF[26],NonARTF[27],NonARTF[28],NonARTF[29],NonARTF[30],NonARTF[31],NonARTF[32],NonARTF[33],NonARTF[34],NonARTF[35],NonARTF[36],NonARTF[37],NonARTF[38],NonARTF[39],NonARTF[40],NonARTF[41],NonARTF[42],NonARTF[43],NonARTF[44],NonARTF[45],NonARTF[46],NonARTF[47],NonARTF[48],NonARTF[49],NonARTF[50],NonARTF[51],NonARTF[52],NonARTF[53],NonARTF[54],NonARTF[55],NonARTF[56],NonARTF[57],NonARTF[58],NonARTF[59],NonARTF[60],NonARTF[61],NonARTF[62],NonARTF[63],NonARTF[64],NonARTF[65],NonARTF[66],NonARTF[67],NonARTF[68],NonARTF[69],NonARTF[70],NonARTF[71],NonARTF[72],NonARTF[73],NonARTF[74],NonARTF[75],NonARTF[76],NonARTF[77],NonARTF[78],NonARTF[79],NonARTF[80],NvsM[18],NvsM[19],NvsM[20],NvsM[21],NvsM[22],NvsM[23],NvsM[24],NvsM[25],NvsM[26],NvsM[27],NvsM[28],NvsM[29],NvsM[30],NvsM[31],NvsM[32],NvsM[33],NvsM[34],NvsM[35],NvsM[36],NvsM[37],NvsM[38],NvsM[39],NvsM[40],NvsM[41],NvsM[42],NvsM[43],NvsM[44],NvsM[45],NvsM[46],NvsM[47],NvsM[48],NvsM[49],NvsM[50],NvsM[51],NvsM[52],NvsM[53],NvsM[54],NvsM[55],NvsM[56],NvsM[57],NvsM[58],NvsM[59],NvsM[60],NvsM[61],NvsM[62],NvsM[63],NvsM[64],NvsM[65],NvsM[66],NvsM[67],NvsM[68],NvsM[69],NvsM[70],NvsM[71],NvsM[72],NvsM[73],NvsM[74],NvsM[75],NvsM[76],NvsM[77],NvsM[78],NvsM[79],NvsM[80],NvsF[18],NvsF[19],NvsF[20],NvsF[21],NvsF[22],NvsF[23],NvsF[24],NvsF[25],NvsF[26],NvsF[27],NvsF[28],NvsF[29],NvsF[30],NvsF[31],NvsF[32],NvsF[33],NvsF[34],NvsF[35],NvsF[36],NvsF[37],NvsF[38],NvsF[39],NvsF[40],NvsF[41],NvsF[42],NvsF[43],NvsF[44],NvsF[45],NvsF[46],NvsF[47],NvsF[48],NvsF[49],NvsF[50],NvsF[51],NvsF[52],NvsF[53],NvsF[54],NvsF[55],NvsF[56],NvsF[57],NvsF[58],NvsF[59],NvsF[60],NvsF[61],NvsF[62],NvsF[63],NvsF[64],NvsF[65],NvsF[66],NvsF[67],NvsF[68],NvsF[69],NvsF[70],NvsF[71],NvsF[72],NvsF[73],NvsF[74],NvsF[75],NvsF[76],NvsF[77],NvsF[78],NvsF[79],NvsF[80],
1,800,683,612,647,582,504,494,459,426,404,368,305,294,307,235,250,266,182,182,178,167,160,129,162,140,117,167,119,120,90,89,85,85,101,81,70,76,58,64,68,79,46,42,47,53,54,60,33,34,41,31,43,25,41,23,30,33,17,24,21,18,20,52,747,744,731,688,675,649,653,591,570,560,539,464,427,419,376,390,397,325,317,339,270,323,242,275,212,231,207,195,195,201,167,169,131,156,123,163,99,116,93,109,100,95,86,97,87,83,91,64,65,58,58,58,30,54,41,19,23,24,19,22,19,10,55,14,17,36,35,28,42,46,45,48,38,44,33,38,44,29,42,37,21,20,30,33,24,26,29,20,21,27,16,20,16,7,15,9,12,12,17,11,9,10,8,7,3,8,3,3,5,6,3,4,3,3,6,4,0,0,0,4,0,0,0,0,3,1,29,34,47,50,47,55,75,80,80,93,96,88,78,83,74,81,95,76,72,62,58,77,60,57,50,50,52,37,31,34,29,26,34,27,20,22,14,13,13,12,16,7,8,10,6,7,16,6,6,5,1,6,4,2,4,1,0,0,0,1,0,0,1,5,7,12,20,15,25,25,27,34,25,32,24,24,34,13,25,27,16,18,25,22,18,20,24,19,17,23,14,18,10,6,12,6,10,9,17,11,7,7,8,6,2,6,3,2,5,5,3,4,2,3,6,4,0,0,0,2,0,0,0,0,3,1,6,13,22,29,25,30,49,44,58,63,71,66,63,55,61,62,77,68,57,59,52,66,50,53,40,44,46,32,27,31,26,23,27,24,16,18,12,11,9,10,13,7,7,8,6,7,16,6,5,4,1,5,4,2,4,1,0,0,0,1,0,0,0,0,5,0,7,4,8,16,11,12,13,24,12,17,18,9,15,17,10,12,11,14,12,13,14,11,12,18,10,11,8,3,7,3,9,8,15,4,5,6,5,3,2,5,0,2,5,4,1,2,1,2,6,3,0,0,0,2,0,0,0,0,2,1,2,8,10,13,10,9,15,24,24,29,29,38,41,33,39,27,44,40,33,35,32,34,34,38,24,28,21,19,18,24,22,17,13,15,12,10,8,8,6,7,9,7,4,7,2,5,9,2,2,1,0,5,4,2,2,1,0,0,0,1,0,0,0,0,3,0,6,4,6,13,10,9,13,18,11,12,18,8,15,14,8,12,11,14,12,13,14,10,11,16,9,10,8,3,7,3,8,8,15,4,5,6,5,3,2,5,0,2,5,4,1,2,1,2,6,3,0,0,0,2,0,0,0,0,2,1,1,6,7,12,8,8,13,24,23,28,28,35,39,30,39,22,38,35,32,33,32,30,30,35,24,24,19,18,17,22,20,16,13,14,12,10,8,7,6,7,7,7,4,7,2,5,9,2,2,1,0,5,4,2,2,1,0,0,0,1,0,0,0,
2,765,682,635,619,528,566,492,441,440,437,362,334,280,264,272,272,249,211,190,200,176,153,142,144,148,152,121,106,128,126,105,93,78,62,83,64,76,66,40,64,59,52,57,52,41,40,45,52,52,49,25,45,24,42,31,22,31,28,20,26,20,14,60,830,723,680,721,667,671,636,622,637,571,562,539,495,442,402,363,341,336,346,327,277,293,234,267,232,217,220,196,188,176,166,175,138,148,133,121,100,113,114,96,92,98,78,76,69,76,81,72,66,63,50,63,47,59,36,35,39,21,18,22,28,11,79,10,15,16,26,30,33,24,34,42,45,48,32,30,32,28,38,29,41,27,35,20,29,34,18,32,26,21,25,16,15,14,22,11,10,11,12,11,10,6,14,9,9,9,5,5,4,7,5,5,5,2,3,3,6,2,2,1,2,0,4,0,0,1,18,17,38,41,54,45,56,68,85,79,82,98,102,79,54,69,65,74,79,64,59,64,54,54,46,45,43,43,48,38,33,32,24,29,26,24,15,16,17,14,14,11,14,6,4,5,6,5,5,8,4,3,1,3,3,2,3,0,0,0,0,0,2,5,9,12,19,25,24,18,28,33,39,38,27,24,27,25,31,23,33,25,29,17,27,31,15,29,22,17,25,14,10,13,19,10,8,10,10,10,8,6,14,9,7,9,4,4,4,7,5,5,4,2,3,3,6,2,2,1,2,0,3,0,0,1,10,7,27,33,39,33,45,49,72,65,69,84,90,73,46,60,57,66,75,58,54,56,51,49,41,42,39,42,45,32,33,32,23,29,23,23,15,16,15,14,14,11,13,6,4,5,6,5,5,8,4,3,1,3,3,2,3,0,0,0,0,0,2,3,4,8,11,9,11,5,15,21,21,26,17,19,20,17,24,15,28,19,19,10,18,22,13,23,15,13,23,9,9,12,15,10,6,6,8,9,8,3,12,7,5,5,4,2,3,5,5,3,3,2,1,3,3,2,2,0,0,0,3,0,0,1,6,3,14,15,15,19,25,24,39,38,41,57,59,53,33,46,41,45,52,40,35,43,41,36,33,34,32,28,36,26,27,27,21,22,17,17,11,12,11,11,11,9,11,5,3,5,2,5,4,6,3,3,1,3,3,2,2,0,0,0,0,0,0,3,4,5,9,7,9,5,14,18,19,25,16,18,19,14,23,13,22,18,18,10,16,20,13,21,15,13,23,8,9,9,15,9,6,5,6,9,6,3,11,6,5,4,4,2,3,4,5,3,3,1,1,3,3,2,2,0,0,0,3,0,0,1,5,3,13,13,15,16,23,21,38,35,37,50,54,45,29,44,36,40,47,37,34,39,39,31,32,32,32,27,35,23,26,26,20,21,15,16,11,11,11,10,11,9,10,5,3,5,2,5,4,6,3,3,1,3,3,2,2,0,0,0,0,0,0,
3,889,825,741,741,733,624,661,604,555,528,431,453,379,371,360,343,327,283,280,285,240,207,194,191,178,214,157,145,141,149,161,141,124,145,103,84,94,70,69,75,76,81,75,64,73,64,53,57,61,69,47,43,50,34,44,34,23,35,29,21,23,23,97,902,897,818,791,794,750,725,746,677,690,604,631,579,571,499,480,425,386,412,387,345,333,327,308,313,252,256,232,249,223,242,204,206,160,177,166,142,106,151,123,125,104,108,98,90,92,71,82,72,85,72,71,78,60,60,38,42,45,31,26,27,21,124,13,15,21,21,29,37,46,32,52,51,43,47,46,42,45,42,46,41,39,51,26,28,27,40,34,39,24,19,23,22,22,14,22,17,18,8,17,11,14,10,13,11,12,4,9,15,4,4,3,11,7,3,3,5,6,3,1,0,1,1,2,0,0,24,22,26,52,48,69,70,68,77,88,89,100,117,107,96,87,84,84,98,90,72,67,75,68,79,55,50,50,52,56,53,41,34,20,34,34,20,18,23,18,15,13,11,13,7,11,4,12,6,14,6,8,5,2,3,2,6,2,1,0,3,1,2,5,8,11,17,21,35,41,24,46,45,38,46,41,37,38,40,45,37,33,47,24,25,24,37,29,36,23,18,23,18,22,14,22,16,17,7,17,11,14,9,13,11,11,4,9,14,4,4,3,11,7,3,2,4,6,3,1,0,1,1,2,0,0,15,14,19,40,41,61,57,63,70,82,82,87,108,100,92,79,83,78,94,88,70,65,72,64,78,55,48,48,51,53,50,41,34,20,33,30,18,16,21,17,14,13,11,13,7,10,4,11,5,14,6,8,5,2,3,2,5,2,1,0,3,0,0,4,6,5,13,16,26,28,19,34,38,27,30,33,29,34,33,35,26,24,36,17,21,21,34,20,30,17,13,23,13,17,12,18,14,17,5,16,8,13,8,10,10,6,4,9,11,3,4,3,10,7,3,2,3,5,3,1,0,1,1,2,0,0,10,12,13,22,24,41,42,44,45,53,58,68,87,81,71,68,64,67,68,71,56,53,60,54,66,49,46,42,43,45,40,38,31,18,29,24,14,16,18,12,13,11,11,12,7,9,4,7,5,14,5,7,4,2,3,2,5,2,1,0,3,0,0,4,4,5,12,13,21,23,17,31,35,25,27,30,25,33,32,32,24,20,34,17,20,19,31,20,29,14,13,20,11,16,12,16,14,15,5,15,8,12,7,9,9,4,4,9,10,3,4,3,10,7,3,2,3,4,3,1,0,1,1,2,0,0,8,10,13,20,22,36,39,38,37,51,54,62,75,73,65,60,60,64,65,67,54,52,55,51,59,48,39,41,41,42,35,36,31,16,28,24,13,16,17,11,12,10,11,12,6,9,4,7,4,14,4,7,4,2,3,1,5,2,1,0,2,0,0,
