Year,Prevalence,Incidence,NumberPositive,NewCasesThisYear,NewCasesThisYearFromOutside,NewCasesThisYearFromAcute,PropHIVPosONART,NAnnual,TotalPopulation,NumberPositiveM,PopulationM,NumberPositiveF,PopulationF,CumulativeNonPopartHIVtests,CumulativePopartHIVtests,CumulativeNonPopartCD4tests,CumulativePopartCD4tests,NHIVTestedThisYear,NOnARTM,NNeedARTM,NOnARTF,NNeedARTF,PropMenCirc,NindInSdPart,NDied_from_HIV,NHIV_pos_dead,N_dead,Prop_riskLow,Prop_riskMed,Prop_riskHigh,Prevalence_riskLow,Prevalence_riskMed,Prevalence_riskHigh,NewCasesThisYear_riskLow,NewCasesThisYear_riskMed,NewCasesThisYear_riskHigh,NDied_from_HIV_riskLow,NDied_from_HIV_riskMed,NDied_from_HIV_riskHigh,NMage13-18,NMage18-23,NMage23-30,NMage30-40,NMage40-50,NMage50-60,NMage60-80,NFage13-18,NFage18-23,NFage23-30,NFage30-40,NFage40-50,NFage50-60,NFage60-80,IncMage13-18,IncMage18-23,IncMage23-30,IncMage30-40,IncMage40-50,IncMage50-60,IncMage60-80,IncFage13-18,IncFage18-23,IncFage23-30,IncFage30-40,IncFage40-50,IncFage50-60,IncFage60-80,NPosMage13-18,NPosMage18-23,NPosMage23-30,NPosMage30-40,NPosMage40-50,NPosMage50-60,NPosMage60-80,NPosFage13-18,NPosFage18-23,NPosFage23-30,NPosFage30-40,NPosFage40-50,NPosFage50-60,NPosFage60-80,
1900,0.000000,0.000000,0,0,0,0,0.000000,0,2175,0,1118,0,1057,0,0,0,0,0,0,0,0,0,0.0572,0,0,0,35,0.5784,0.3384,0.0832,0.0000,0.0000,0.0000,0,0,0,0,0,0,226,175,194,217,139,90,77,196,174,185,208,134,82,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1901,0.000000,0.000000,0,0,0,0,0.000000,0,2286,0,1165,0,1121,0,0,0,0,0,0,0,0,0,0.0584,0,0,0,68,0.5801,0.3377,0.0822,0.0000,0.0000,0.0000,0,0,0,0,0,0,252,171,206,214,150,86,86,230,188,190,207,136,86,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1902,0.000000,0.000000,0,0,0,0,0.000000,0,2410,0,1232,0,1178,0,0,0,0,0,0,0,0,0,0.0584,0,0,0,113,0.5851,0.3328,0.0822,0.0000,0.0000,0.0000,0,0,0,0,0,0,290,183,209,220,155,88,87,271,187,187,221,140,91,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1903,0.000000,0.000000,0,0,0,0,0.000000,0,2547,0,1306,0,1241,0,0,0,0,0,0,0,0,0,0.0590,0,0,0,146,0.5874,0.3325,0.0801,0.0000,0.0000,0.0000,0,0,0,0,0,0,341,191,210,229,151,93,91,309,190,185,233,141,102,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1904,0.000000,0.000000,0,0,0,0,0.000000,0,2685,0,1381,0,1304,0,0,0,0,0,0,0,0,0,0.0608,0,0,0,173,0.5914,0.3304,0.0782,0.0000,0.0000,0.0000,0,0,0,0,0,0,334,253,220,216,173,93,92,307,227,199,230,149,108,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1905,0.000000,0.000000,0,0,0,0,0.000000,0,2782,0,1424,0,1358,0,0,0,0,0,0,0,0,0,0.0604,0,0,0,220,0.5888,0.3339,0.0773,0.0000,0.0000,0.0000,0,0,0,0,0,0,332,283,224,230,170,92,93,312,257,210,227,157,111,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1906,0.000000,0.000000,0,0,0,0,0.000000,0,2922,0,1488,0,1434,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,255,0.5856,0.3326,0.0818,0.0000,0.0000,0.0000,0,0,0,0,0,0,328,327,229,237,172,104,91,320,300,227,234,160,109,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1907,0.000000,0.000000,0,0,0,0,0.000000,0,3055,0,1557,0,1498,0,0,0,0,0,0,0,0,0,0.0636,0,0,0,292,0.5830,0.3345,0.0825,0.0000,0.0000,0.0000,0,0,0,0,0,0,324,371,242,242,179,106,93,320,341,234,236,165,115,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1908,0.000000,0.000000,0,0,0,0,0.000000,0,3172,0,1617,0,1555,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,331,0.5845,0.3345,0.0810,0.0000,0.0000,0.0000,0,0,0,0,0,0,313,419,239,263,181,105,97,325,371,247,238,169,115,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1909,0.000000,0.000000,0,0,0,0,0.000000,0,3304,0,1692,0,1612,0,0,0,0,0,0,0,0,0,0.0650,0,0,0,366,0.5835,0.3335,0.0829,0.0000,0.0000,0.0000,0,0,0,0,0,0,338,388,304,278,172,115,97,324,373,287,241,180,114,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
