RANDOMSEED initial_adult_population_size initial_prop_13_17 initial_prop_18_22 initial_prop_23_30 initial_prop_31_40 initial_prop_41_50 initial_prop_51_60 initial_prop_61_and_older initial_low_risk_male initial_low_risk_female initial_med_not_low_risk_male initial_med_not_low_risk_female initial_prop_HIV_pos_low_risk_male initial_prop_HIV_pos_low_risk_female initial_prop_HIV_pos_med_risk_male initial_prop_HIV_pos_med_risk_female initial_prop_HIV_pos_high_risk_male initial_prop_HIV_pos_high_risk_female log_seed_multiplier n_years_HIV_seeding
54270793 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.487455058116912 0.45634690242338 0.757631014409871 0.825722832562294 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.69787555491958 5
1158615205 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.478616254183988 0.368848146208803 0.708100843990272 0.615210090610463 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.01387068608906 5
959939208 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.47076995328365 0.529247710081598 0.654356917773855 0.783077419001233 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.470161196730595 5
1384147775 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.561120141453056 0.426781873858927 0.559383333206345 0.915499049076896 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.19086970306293 5
1474282833 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.372965907707938 0.535265451226977 0.721370715850128 0.78922871641028 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.99698282707392 5
1327174789 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.568863512098178 0.320855993689962 0.654479106485301 0.90874965723189 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.22977837308768 5
313618746 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.543179876523779 0.358024860191014 0.722437789376022 0.797103927546741 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.298930942704715 5
419209035 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.568413994699549 0.355021175423637 0.801780013646942 0.938433521417662 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.43226484122145 5
698342499 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.413615178095031 0.531739013986202 0.516361243218029 0.901952643973515 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.83972861882926 5
1120849161 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.437189790233095 0.56302450145493 0.810290023617509 0.584740221835217 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.07849378321541 5
624111602 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.571006872705946 0.570887635423266 0.568912986197415 0.823272503791008 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.03104306102447 5
1936550000 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.5377936266186 0.421889912320072 0.595147212346771 0.94586245155602 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.41100125365844 5
1936550000 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.5377936266186 0.421889912320072 0.595147212346771 0.94586245155602 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.41100125365844 5
883405467 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.469676598301224 0.531234024403193 0.750388122857128 0.79445096136423 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.787103526021277 5
2008709431 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.544793475383214 0.569754942492272 0.525120957382153 0.811613742897629 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.367668737504788 5
1559623082 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.453043502764622 0.4407445184713 0.707819229712527 0.511768989250747 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.1783204235244 5
54023063 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.543216505061503 0.382134358710918 0.887703881424212 0.69906786843024 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.67546903049919 5
210417041 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.536460648852733 0.392905456761095 0.556854797901234 0.970329131231553 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.02514211965127 5
1251582863 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.461019680423646 0.534049712228973 0.552265547605853 0.726575221380624 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.50486827930609 5
933264549 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.527292481112595 0.529116035193867 0.507174361579778 0.900595677371359 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.96985891706255 5
295749083 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.418951836282846 0.454749250520587 0.547003146902064 0.839402793560612 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.06719842996381 5
1420861594 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.503877511424895 0.414277633678095 0.654150000671663 0.880526064714007 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.49547743141368 5
1420861594 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.503877511424895 0.414277633678095 0.654150000671663 0.880526064714007 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.49547743141368 5
1947817650 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.513060649578551 0.592825892249442 0.889333954688716 0.7628492506676 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.5716625395235 5
1021646785 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.581505425176912 0.447045577740867 0.644641500910765 0.882281790529774 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.40055378703293 5
